A.fa content.tsv
Level	Esperanto	fa	en-us	Grupo	Alternativoj	Pronoco
level	jes, ne	بله خیر	yes, no	grupo	alternativoj	prononco
level	jes, dankon	بله، متشکرم	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	می خورد، خواهد خورد	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	من نمیخورم	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	نه من نمیخورم	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	زیبا، زیبا	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	ارزشمند (پایان)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	قابل قدردانی، شایسته تشکر است	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	کل، به عنوان یک کل	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	همه، (هدف) همه	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	به هیچ وجه، شما خوش آمدید	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	کاملا نه	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	بخشیدن، بخشیدن	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	یک بخشش برای من	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	متاسفم! (ببخشید)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	متاسفم لطفا	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	یک صبح بخیر	a good morning	grupo	alternativoj	prononco
level	bonan matenon	صبح بخیر	good morning	grupo	alternativoj	prononco
level	bonan nokton	شب بخیر	good night	grupo	alternativoj	prononco
level	bonan sonĝon	رویای شیرین	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	سفر خوبی داشته باشید، برای شما	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	روز خوب!	good day!	grupo	alternativoj	prononco
level	ĉu ~	آیا ~	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	حالت خوبه؟ (چطور هستید؟)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	بله من خوبم	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	نه اصلا	no, not at all	grupo	alternativoj	prononco
level	tre, tro	خیلی خیلی زیاد	very, too much	grupo	alternativoj	prononco
level	granda, grande	بزرگ، تا حد زیادی	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	خیلی بزرگ، خیلی بزرگ	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	خیلی خوب داری پیش میری	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	خیلی خوب نیست	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	یاد گرفتن، یادگیری	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	در حال نگاه کردن است، یک تماشاگر	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	یادگیری است، دانش آموز (فرد یادگیرنده)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	است -ing، شخصی که انجام می دهد	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	دانش آموز، فردی که آموخته است	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	من یک دانش آموز هستم.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ دوست من است	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	او او	he, she	grupo	alternativoj	prononco
level	sidi, sidas	نشستن، می نشیند	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	نشسته است، نشسته بود، خواهد نشست	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	او نشسته است و او در حال یادگیری است	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	یک اتاق	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	در یک اتاق یاد می گیرد	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	یک دانشجو و یک ورزشکار	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	ورزش و یک ورزشکار	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	یک ورزشکار ورزش می کند	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	او یک دانش آموز است	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	او یک دانشجو و یک ورزشکار است	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	او اکنون نشسته است	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	و اکنون در حال یادگیری است	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	نشسته است و در حال یادگیری است	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	اکنون در یک اتاق	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	روی یک میز است	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	یک کاغذ و اوراق	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	یک میز و میز	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	یک کتاب و کتاب	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	اوراق و کتاب ها	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	روی یک میز است	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	روی میز تحریر می نویسد	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	کتاب ها ~ هستند	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	روی میز	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	یک کتاب درسی و کتاب های درسی	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	روی میز ~ وجود دارد	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	یک پدر و یک مادر	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	پدر و مادر	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	مادر دوستم	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	داخل اتاق	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	در اتاق نیست	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	آنها در حال حاضر مشغول به کار هستند	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	پدرش کارگر است	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	او در یک هتل کار می کند	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	مادر آموزش می دهد	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	او یک معلم است	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	آیا او مادر است؟	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	نه، او هتلدار است	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	نه من کار نمیکنم	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	نام او چیست؟	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	الان کی جواب میده	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	زبان مادرشان	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	نام شماست ~	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	ما نشسته ایم و جواب می دهیم	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	صندلی کار او	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	نام آن ~ نیست	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	زبان او زبان آنهاست	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	پدر و مادر ما	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	شاگرد شما، شاگردان شما	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	آیا آنها شاگرد شما هستند؟	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	شما دانش آموز هستید؟	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	تو اتاق هستی؟	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	من ~ نیستم	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	یک اسپرانیست و یک اسپرانتیست زن	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	برای اتاق هتل ثبت نام کرد	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	یک زبان شناس و یک کارگر زن	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	دوست دختر او ~ است	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	دانش آموزان و ورزشکاران	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	نام خانوادگی من ~ است	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	اون کیه؟ او کدام است؟	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	دوست دختر شماست	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	دوست شماست ~؟	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	الان در اتاق می نویسد	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	دوست شما پدر است ~؟	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	در هتل کار می کند	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	چه چیزی روی میز است	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	روی میز اتاق ما	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	آیا کتاب درسی اسپرانتو ~ است؟	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	روی میز شماست	is on your table	grupo	alternativoj	prononco
level	havas amikinon	یک دوست دارد	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	نام او ~ است	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	جوان و زیبا	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	جوان و زیبا است	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	دوستان جوان و زیبا	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	دوستان زن و مرد هستند	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	خانه معلمش	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	به خانه آمد	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	خانه ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	لطفا بفرمایید داخل	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	سلام چیکار میکنی؟	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	چه کار میکنی؟ چه کار می کنی؟	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	ولی الان میخوام ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	من میخواهم صحبت کنم	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	با سه دوست زن و مرد	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	با شما صحبت کرد	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	می خواهد با شما صحبت کند	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	آیا شما دوستان زن و مرد دارید؟	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	او یک کتاب دارد	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	کتاب خوبی دارد	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	بله دارم	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	آنها آن را دوست دارند	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	او یک کتاب خواند	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	دوست دارد کتاب بخواند	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	فقط یک کتاب خوب	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	بسیاری از کتاب های خوب	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	فقط کتاب های خوب بخوانید	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	دوست دارد کتاب های خوب بخواند	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	میخوای بخونی	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	جوان قهوه نوشید	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	می خواهد آب بخورد	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	یک پدر و یک مادر؛ والدین	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	یک مزاحم و یک خواهر، خواهر و برادر	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	پدر و مادر و خواهر و برادر شما	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	در خانه شما است	is in your home	grupo	alternativoj	prononco
level	jen la kafo	اینجا قهوه است	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	هنوز مشروب نخورد	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	هنوز گرم است	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	دیروز پختش	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	الان پختم	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	متشکرم. بنابراین او گفت.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	می تواند بنوشد و بخورد	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	قهوه سرد نوشید	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	قهوه هنوز گرم	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	قهوه سرد هم می نوشد	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	همچنین می توانید قهوه سرد بنوشید	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	به چشم او نگاه می کند	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	زیباترین چشم	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	چشم های زیبا	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	به چشمان زیبا نگاه کرد	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	چشمان زیبای او	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	می بیند و می فهمد	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	من میبینم که ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	که او را دوست دارد	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	او احساس می کند که او را دوست دارد	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	می پرسد که آیا بزرگ بود؟	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	در مورد یک سوال آسان	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	در مورد پول جدید گفت	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	چشمهای بسیار زیبا	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	به برادر بزرگ نگاه کرد	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	یک خواهر کوچک آن را فراموش کرده است	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	اتهامی (هدف)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	پایان متهم را فراموش نکنید	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	کی رو میبینی کدام را می بینید؟	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	من یک دوست را می بینم	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	دوستان زن و مرد خوبی دارد	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	آنها در مورد خانه قدیمی کار می کنند	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	کار می کند، کار می کند، کار می کند	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	می بیند که من می خورم	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	گفت، که او خواهد رفت	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	زشت و بد	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	چی گفت؟	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	منتظر چی هستی؟	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	رفت تو اتاق	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	یک محتوا بسیار دشوار است	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	به جلسه رسید	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	به جلسه خوش آمدید	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	پیرمردی انعام داد	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	رسید و مورد استقبال قرار گرفت	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	متنفرند اما همکاری می کنند	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	به هتل رفت	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	کتاب های درسی آسانی دارد	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	مادرت چطور بود؟	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	خانه قدیمی شما	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	کدام کتاب ها را خواندی؟	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	خوب بودند؟	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	دیروز چیکار کرد	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	در اتاق کوچک	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	خیلی طولانی صحبت کرد	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	جلوی مدرسه، قبل از مدرسه	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	قبل از مدرسه صحبت کرد	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	بعداً در مورد کتاب صحبت کرد	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	با خوشحالی به مدرسه رفت	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	از طریق خیابان	through the street	grupo	alternativoj	prononco
level	iris tra la strato	از خیابان گذشت	went through the street	grupo	alternativoj	prononco
level	estis varma tago	روز گرمی بود	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	یک کافه دیدند	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	کوکی های قرمز را دیدم	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	کوکی ها را در آن دید	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	یک کافه دیدم و در آن کلوچه	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	برو داخل و بخور!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	بیا داخل و بخوریم	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	پول کافی دارد	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	آیا پول کافی دارید؟	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	آیا می فهمی؟	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	البته!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	این کافی نیست	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	صد دلار کافی است	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	یک دلار، دلار، دلار (جمع هدف)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	صد دلار دارد	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	البته من دارم	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	اوه تو ثروتمند هستی!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	یک آب، یک پیشخدمت	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	پیشخدمت منو می آورد	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	آن را برای ما آورد، آن را آورد	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	یک پیشخدمت کلوچه های زیادی آورد	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	آنها مقداری (کمی) خوردند	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	بعد از غذا (غذا)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	جدید، دوباره	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	گارسون دوباره آمد	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	در جایی	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	جایی را جستجو کرده بود	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	در جای دیگری جستجو کرد	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	صورتش شاد بود	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	او غمگین بود	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	در پایان و در نهایت	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	صدای قوی تو	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	با صدای ضعیف	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	پول ندارد	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	آنجا چه اتفاقی افتاد؟	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	بعدا تصادفی رخ داد	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	میدونی کی اتفاق افتاد؟	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	از موضوع خبر دارد	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	هنوز یک چیز باقی مانده است	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	شما یا او، هر شخصی	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	مانند یک خواننده، به عنوان یک امضاکننده	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	مثل یک خواننده حرفه ای خواند	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	مکانی که او در آن زندگی می کرد	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	شما از کجا در مورد ماشین می دانید؟	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	خوب، به ماشین سریع نگاه کنید	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	یک آب میوه بدون شکر	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	او یک وسیله نقلیه سریع دارد	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	خیلی شدید	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	خیلی محکم باز کرد	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	خیلی سریع رانندگی کرد (سفر کرد).	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	با قاشق خورد	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	ما شدیدا شک داریم	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	نامه ای واقعی از او	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	یک نامه عاشقانه با پنج عکس	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	بازگشت، مردمی که بازگشتند	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	همچنین شش نامه برگشت	also six letters returned	grupo	alternativoj	prononco
