C.ne content.tsv
Level	Esperanto	ne	en-us	Grupo	Alternativoj	Pronoco
level	kaj (k.)	र	and	grupo	alternativoj	prononco
level	aŭ	वा	or	grupo	alternativoj	prononco
level	alta	उच्च, अग्लो	high, tall	grupo	alternativoj	prononco
level	jes	हो	yes	grupo	alternativoj	prononco
level	ne	होइन, होइन	not, no	grupo	alternativoj	prononco
level	tiom	त्यो धेरै, यति रकम, त्यो रकम	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	राम्रो	good	grupo	alternativoj	prononco
level	kiom	कति, कति	how much, how many	grupo	alternativoj	prononco
level	ofte	अक्सर, बारम्बार	often, frequently	grupo	alternativoj	prononco
level	iom	थोरै, बरु, केही, केही हदसम्म	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	नयाँ, उपन्यास	new, novel	grupo	alternativoj	prononco
level	-at-	<suffix>निष्क्रिय वर्तमान पार्टिसिपल	<suffix> passive present participle	grupo	alternativoj	prononco
level	-it-	<suffix>निष्क्रिय विगत पार्टिसिपल	<suffix> passive past participle	grupo	alternativoj	prononco
level	-ot-	<suffix>निष्क्रिय भविष्य सहभागी	<suffix> passive future participle	grupo	alternativoj	prononco
level	tre	धेरै, धेरै, धेरै	very, quite, very much	grupo	alternativoj	prononco
level	tro	धेरै, अत्यधिक, धेरै	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	तथापि, यद्यपि, तर, यद्यपि	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	ओह! हो!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	त्यो ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	किनभने ~	because ~	grupo	alternativoj	prononco
level	ĉu	चाहे ~	whether ~	grupo	alternativoj	prononco
level	-ej-	<suffix>ठाउँ	<suffix> place	grupo	alternativoj	prononco
level	-ec-	<suffix>गुणस्तरको अमूर्त नाम	<suffix> abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	दुबै ~	both ~	grupo	alternativoj	prononco
level	tuj	तुरुन्तै, तुरुन्तै, तुरुन्तै	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	जस्तै ~	as if ~	grupo	alternativoj	prononco
level	kiam	कहिले	when	grupo	alternativoj	prononco
level	silenti	चुप लाग्नु, चुप लाग्नु	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	कहिल्यै, कुनै समयमा, कहिल्यै होइन	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	त्यसैले, त्यसैले	therefore, so	grupo	alternativoj	prononco
level	kial	किन, के को लागि	why, what for	grupo	alternativoj	prononco
level	kvankam	यद्यपि ~, जबकि, यद्यपि	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	<preposition>~ मा	<preposition> at ~	grupo	alternativoj	prononco
level	pli	थप	more	grupo	alternativoj	prononco
level	plej	धेरैजसो	most	grupo	alternativoj	prononco
level	diri	भन्नु, भन्नु	to say, to tell	grupo	alternativoj	prononco
level	ol ~	~ भन्दा	than ~	grupo	alternativoj	prononco
level	paroli	बोल्न, कुरा गर्न	to speak, to talk	grupo	alternativoj	prononco
level	kia	कस्तो प्रकारको, कस्तो प्रकारको	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	यस्तो, त्यस प्रकारको, यस्तो a	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	मुश्किलले, मुश्किलले, डरले	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	पठाउनु	to send	grupo	alternativoj	prononco
level	ĵus	भर्खर (एक क्षण पहिले), भर्खर	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	<suffix>अनिवार्य	<suffix> imperative	grupo	alternativoj	prononco
level	ekster ~	बाहिर ~	outside ~	grupo	alternativoj	prononco
level	ge-	<prefix>दुबै लिंग, दुबै लिङ्ग	<prefix> both sex, both gender	grupo	alternativoj	prononco
level	-us	<suffix>will, should, subjunctive	<suffix> would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	चाँडै	soon	grupo	alternativoj	prononco
level	almenaŭ	कम्तिमा, यदि अरू केहि छैन	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	<suffix>कन्टेनर; देश	<suffix> container; country	grupo	alternativoj	prononco
level	lerni	सिक्नु	to learn	grupo	alternativoj	prononco
level	ek-	<prefix>शुरुवात; अचानक सुरु	<prefix> beginning; sudden start	grupo	alternativoj	prononco
level	se	यदि, प्रदान गरियो	if, provided that	grupo	alternativoj	prononco
level	eĉ	पनि	even	grupo	alternativoj	prononco
level	amo	माया	a love	grupo	alternativoj	prononco
level	jam	पहिले नै, यति चाँडै, अहिलेको रूपमा	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	यहाँ! लो! हेर	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	समाप्त गर्न, समाप्त गर्न, समाप्त गर्न	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	त्यसैले, त्यसोभए, त्यसैले	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ सधैं, (जे) कहिल्यै, सबै, - जतिसुकै	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	सजिलो, सहज	easy, facile	grupo	alternativoj	prononco
level	re-	<prefix>पुन-	<prefix> re-	grupo	alternativoj	prononco
level	granda	ठूलो, ठूलो, ठूलो	big, great, large	grupo	alternativoj	prononco
level	-ist-	<suffix>व्यावसायिक	<suffix> professional	grupo	alternativoj	prononco
level	pro ~	<preposition>कारण ~, कारण ~	<preposition> because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	<suffix>नेता, मालिक, प्रमुख, प्रमुख	<suffix> leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	के	what	grupo	alternativoj	prononco
level	manĝi	खानु	to eat	grupo	alternativoj	prononco
level	nenio	केहि छैन, केहि छैन, केहि पनि छैन	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	जवान	young	grupo	alternativoj	prononco
level	ĉio	सबै कुरा	everything	grupo	alternativoj	prononco
level	riĉa	धनी, धनी, धनी	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	त्यो कुरा, त्यो	that thing, that	grupo	alternativoj	prononco
level	konstrui	निर्माण गर्न, निर्माण गर्न	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	<prefix>प्रमुख, प्रमुख, प्रमुख	<prefix> chief, leading, main	grupo	alternativoj	prononco
level	sen ~	<preposition>बिना ~	<preposition> without ~	grupo	alternativoj	prononco
level	kun ~	<preposition>~ (सँगै)	<preposition> with ~ (together)	grupo	alternativoj	prononco
level	krom ~	<preposition>बाहेक ~, बाहेक ~	<preposition> except ~, besides ~	grupo	alternativoj	prononco
level	amiko	एउटा साथी	a friend	grupo	alternativoj	prononco
level	kies	कसको, कसको, कसको	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	<preposition>~ (एक विधि), ~ (एक उपकरण) द्वारा	<preposition> by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	~ विरुद्ध	against ~	grupo	alternativoj	prononco
level	el ~	~ बाट, ~ बाट	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	आज	today	grupo	alternativoj	prononco
level	hieraŭ	हिजो	yesterday	grupo	alternativoj	prononco
level	nur	मात्र, केवल, विशेष	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	मद्दत गर्न, मद्दत गर्न, सहयोग गर्न	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	<adverb>धेरै टाढा	<adverb> far, away	grupo	alternativoj	prononco
level	nek	न त, न त	nor, neither	grupo	alternativoj	prononco
level	malamo	एक घृणा	a hate	grupo	alternativoj	prononco
level	preskaŭ	लगभग, लगभग	almost, nearly	grupo	alternativoj	prononco
level	tra ~	~ मार्फत	through ~	grupo	alternativoj	prononco
level	super	माथि, माथि	over, above	grupo	alternativoj	prononco
level	trans ~	~ माथि, पार ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	ठीक छ, त्यसपछि, अब	well, well then, now	grupo	alternativoj	prononco
level	pri ~	लगभग ~	about ~	grupo	alternativoj	prononco
level	por ~	को लागि ~, क्रम मा ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	भोलि	tomorrow	grupo	alternativoj	prononco
level	nun	अहिले, वर्तमानमा	now, at present	grupo	alternativoj	prononco
level	laŭ ~	~, साथमा ~ अनुसार	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	प्रत्येक, हरेक, सबै, सबै	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	को, कुन, कुन	who, which, which one	grupo	alternativoj	prononco
level	tiu	त्यो व्यक्ति, त्यो ~, त्यो एक, उता	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	कोही, कोही, कोही	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	कोही छैन, कोही छैन, न त	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	को ~	to ~	grupo	alternativoj	prononco
level	-ebl-	<suffix>~ सक्षम	<suffix> ~able	grupo	alternativoj	prononco
level	esperi	आशा गर्नु	to hope	grupo	alternativoj	prononco
level	unu	एउटा	one	grupo	alternativoj	prononco
level	du	दुई	two	grupo	alternativoj	prononco
level	tri	तीन	three	grupo	alternativoj	prononco
level	kvar	चार	four	grupo	alternativoj	prononco
level	kvin	पाँच	five	grupo	alternativoj	prononco
level	ses	छ	six	grupo	alternativoj	prononco
level	sep	सात	seven	grupo	alternativoj	prononco
level	ok	आठ	eight	grupo	alternativoj	prononco
level	naŭ	नौ	nine	grupo	alternativoj	prononco
level	dek	दस	ten	grupo	alternativoj	prononco
level	cent	सय	a hundred	grupo	alternativoj	prononco
level	mil	एक हजार	a thousand	grupo	alternativoj	prononco
level	-obl-	<suffix>बहुलताको लागि, -ओबल, -फोल्ड	<suffix> for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	<suffix>~th, अंश	<suffix> ~th, fraction	grupo	alternativoj	prononco
level	ama	मायाको	of love	grupo	alternativoj	prononco
level	anstataŭ ~	~ को सट्टा	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	<suffix>बन्नु	<suffix> become	grupo	alternativoj	prononco
level	voli	इच्छा गर्न, इच्छा गर्न, इच्छुक हुन	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	<suffix>बन्ने कारण	<suffix> cause to become	grupo	alternativoj	prononco
level	sekvi	पछ्याउन	to follow	grupo	alternativoj	prononco
level	ĝoje	खुसीसाथ	gladly	grupo	alternativoj	prononco
level	legi	पढ्नकाे लागि	to read	grupo	alternativoj	prononco
level	silenta	मौन	silent	grupo	alternativoj	prononco
level	la	द	the	grupo	alternativoj	prononco
level	ha!	हा!	ha!	grupo	alternativoj	prononco
level	-il-	<suffix>साधन, विधि	<suffix> tool, method	grupo	alternativoj	prononco
level	trinki	पिउन (अल्कोहल)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	<suffix>सानो, सानो	<suffix> small, little	grupo	alternativoj	prononco
level	-eg-	<suffix>ठूलो, ठूलो	<suffix> big, large	grupo	alternativoj	prononco
level	inter ~	<preposition>बीच ~	<preposition> between ~	grupo	alternativoj	prononco
level	-um-	<suffix>सम्बन्धित व्यवहार	<suffix> related behavior	grupo	alternativoj	prononco
level	-ar-	<suffix>सेट, समूह	<suffix> set, group	grupo	alternativoj	prononco
level	-an-	<suffix>समूहको सदस्य	<suffix> member of a group	grupo	alternativoj	prononco
level	danki	धन्यवाद दिन	to thank	grupo	alternativoj	prononco
level	-ind-	<suffix>सार्थक, योग्य	<suffix> worthwhile, worthy	grupo	alternativoj	prononco
level	plu	अझ धेरै, अगाडि, र यस्तै, थप	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	कसरी, जस्तै, कुन तरिकामा, जस्तै	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	यस्तो, त्यसरी, यसरी	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	<preposition>~ मा	<preposition> in ~	grupo	alternativoj	prononco
level	apud ~	<preposition>~ को छेउमा, छेउमा ~	<preposition> next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	<preposition>मुनि, तल ~	<preposition> under, beneath ~	grupo	alternativoj	prononco
level	sur ~	<preposition>मा ~	<preposition> on ~	grupo	alternativoj	prononco
level	je ~	<preposition>अनिश्चित तयारी।, at, in, by, on	<preposition> indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	<adverb>अझै, अझै	<adverb> still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	<preposition>वरपर ~	<preposition> around ~	grupo	alternativoj	prononco
level	sed	तर	but	grupo	alternativoj	prononco
level	ie	कतै	somewhere	grupo	alternativoj	prononco
level	kie	कहाँ, कुन ठाउँमा	where, at what place	grupo	alternativoj	prononco
level	silente	चुपचाप	silently	grupo	alternativoj	prononco
level	ĉie	जताततै, सबैको बारेमा	everywhere, all about	grupo	alternativoj	prononco
level	nenie	कतै, कुनै पनि अवस्थामा, कतै पनि होइन	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	त्यहाँ, त्यहाँ, उता	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	यो ~	this ~	grupo	alternativoj	prononco
level	kanti	गाउनको लागी	to sing	grupo	alternativoj	prononco
level	morti	मर्नु, मर्नु	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	<preposition>समयमा ~, जबकि ~	<preposition> during ~, while ~	grupo	alternativoj	prononco
level	nacio	एक राष्ट्र	a nation	grupo	alternativoj	prononco
level	koni	जान्न (एक व्यक्ति), संग परिचित हुन	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	जान्न (एक तथ्य, ज्ञान), कसरी जान्न	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	सधैं, सधैं	always, ever	grupo	alternativoj	prononco
level	iam	कुनै समयमा, एक पटक	at some time, once	grupo	alternativoj	prononco
level	tiam	त्यसपछि	then	grupo	alternativoj	prononco
level	-em-	<suffix>प्रवृत्ति	<suffix> tendancy	grupo	alternativoj	prononco
level	ia	कुनै प्रकारको	some kind of	grupo	alternativoj	prononco
level	sukcesi	सफलताको लागि	to succeed	grupo	alternativoj	prononco
level	ĉia	सबै प्रकारको, हरेक प्रकारको	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	होइन, कुनै पनि प्रकारको होइन, कुनै पनि होइन	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	<suffix>सन्तान	<suffix> offspring	grupo	alternativoj	prononco
level	ĉambro	एउटा कोठा, एउटा कोठा	a room, a chamber	grupo	alternativoj	prononco
level	patro	एक बुबा	a father	grupo	alternativoj	prononco
level	porko	सुँगुर, सुँगुर	a pig, swine	grupo	alternativoj	prononco
level	bo-	<prefix>- ससुरा, विवाह द्वारा	<prefix> -in-law, by marriage	grupo	alternativoj	prononco
level	ja	वास्तवमा	indeed	grupo	alternativoj	prononco
level	-ism-	<suffix>-वाद	<suffix> -ism	grupo	alternativoj	prononco
level	io	केहि	something	grupo	alternativoj	prononco
level	veturi	चलाउन (गाडी)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	कुखुरा, कुखुरा, कुखुरा, कुखुरा	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	नि:शुल्क	free	grupo	alternativoj	prononco
level	lasta	अन्तिम	last	grupo	alternativoj	prononco
level	ĝoji	आनन्दित हुनु, आनन्दित हुनु, आनन्द लिनु	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	लिनु, समात्नु	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	गाई, गोरु, गाईवस्तु	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	अर्को, अर्को, अरू	another, other, else	grupo	alternativoj	prononco
level	varma	तातो, तातो	hot, warm	grupo	alternativoj	prononco
level	loĝi	बस्न, बस्न, बास गर्न, बस्न	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	विश्वास गर्नु	to believe	grupo	alternativoj	prononco
level	glacio	राम्रो	an ice	grupo	alternativoj	prononco
level	loko	एक स्थान, एक स्थान	a place, a location	grupo	alternativoj	prononco
level	ovo	एउटा अण्डा	an egg	grupo	alternativoj	prononco
level	multa	धेरै, धेरै, धेरै	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	एक कब्जा	a possession	grupo	alternativoj	prononco
level	ŝafo	एउटा भेडा	a sheep	grupo	alternativoj	prononco
level	sono	एक आवाज	a sound	grupo	alternativoj	prononco
level	fiŝo	एउटा माछा	a fish	grupo	alternativoj	prononco
level	bela	सुन्दर, सुन्दर, सुन्दर	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	जवाफ दिनु, जवाफ दिनु, जवाफ दिनु	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	एक अवसर, एक समय	an occasion, a time	grupo	alternativoj	prononco
level	demandi	सोध्नु	to ask	grupo	alternativoj	prononco
level	forta	बलियो	strong	grupo	alternativoj	prononco
level	preter ~	परे ~, अतीत ~, सीधा अतीत	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	एक मौन	a silence	grupo	alternativoj	prononco
level	infano	एक बच्चा, एक शिशु	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	खुशी, भाग्यशाली, भाग्यशाली	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	समात्नु, समात्नु, पक्रनु	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	इच्छा गर्न, इच्छा गर्न	to desire, to wish	grupo	alternativoj	prononco
level	longa	लामो	long	grupo	alternativoj	prononco
level	mondo	एक संसार	a world	grupo	alternativoj	prononco
level	okazi	हुनु, हुनु, आउनु	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	क्षेत्र, एक क्षेत्र	field, a field	grupo	alternativoj	prononco
level	filo	छोरा	a son	grupo	alternativoj	prononco
level	montri	देखाउनु, संकेत गर्नु, देखाउनु	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	एउटा मुटु	a heart	grupo	alternativoj	prononco
level	knabo	एउटा केटो	a boy	grupo	alternativoj	prononco
level	meti	राख्नु, राख्नु, राख्नु	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	एक पति	a husband	grupo	alternativoj	prononco
level	pako	प्याकेज	package	grupo	alternativoj	prononco
level	rapida	छिटो, छिटो, छिटो	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	देखिनु, देखिनु	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	अभिवादन, अभिवादन, अभिवादन	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	लेख्नु	to write	grupo	alternativoj	prononco
level	peti	माग्न, माग्न, माग्नु, बिन्ती गर्नु	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	उड्नु	to fly	grupo	alternativoj	prononco
level	kapo	एक टाउको, एक केप	a head, a cape	grupo	alternativoj	prononco
level	krii	कराउनु, रुनु, चिच्याउनु, कराउनु	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	रातो	red	grupo	alternativoj	prononco
level	sinjoro	एक मिस्टर, एक सज्जन	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	समात्नु, राख्नु	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	समय, समय	time, a time	grupo	alternativoj	prononco
level	tuta	कुल, सबै, सम्पूर्ण, पूर्ण, समग्र	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	एउटा मान्छे	a man	grupo	alternativoj	prononco
level	vojo	बाटो, बाटो, बाटो	a way, a path, a route	grupo	alternativoj	prononco
level	movi	सार्न	to move	grupo	alternativoj	prononco
level	militi	युद्ध तोड्न, लड्न, युद्ध गर्न	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	केही, धेरै	a few, several	grupo	alternativoj	prononco
level	dekstra	दायाँ, दायाँ (पक्ष, दिशा), दाहिने हात	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	बन्द गर्न, बन्द गर्न	to close, to shut	grupo	alternativoj	prononco
level	okupi	कब्जा गर्न, लिनु	to occupy, to take	grupo	alternativoj	prononco
level	levi	लिभर गर्न, उठाउन, उठाउन	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	पिट्नु, प्रहार गर्नु, प्रहार गर्नु, प्रहार गर्नु, प्रहार गर्नु	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	आवश्यकता हुनु, चाहनु, चाहनु	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	बुझ्न, महसुस गर्न	to understand, to realise	grupo	alternativoj	prononco
level	iri	जानको लागि	to go	grupo	alternativoj	prononco
level	veni	आउन	to come	grupo	alternativoj	prononco
level	porti	बोक्न, लगाउन	to carry, to wear	grupo	alternativoj	prononco
level	kovri	छोप्नु	to cover	grupo	alternativoj	prononco
level	hela	उज्यालो, स्पष्ट र प्रकाश	bright, clear and light	grupo	alternativoj	prononco
level	sana	स्वस्थ	healthy	grupo	alternativoj	prononco
level	aperi	प्रकट हुनु, प्रकट हुनु	to appear, to emerge	grupo	alternativoj	prononco
level	libro	एउटा किताब	a book	grupo	alternativoj	prononco
level	atendi	पर्खनु, पर्खनु, पर्खनु	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	एउटा हात	a hand	grupo	alternativoj	prononco
level	pentri	रङ लगाउनु	to paint	grupo	alternativoj	prononco
level	instrui	सिकाउनु, सिकाउनु	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	बस्नु	to sit	grupo	alternativoj	prononco
level	stari	उभिनु	to stand	grupo	alternativoj	prononco
level	afero	एक चीज, एक वस्तु, एक मामला, एक चिन्ता, एक मेटर	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	पूर्ण, पूर्ण	full, complete	grupo	alternativoj	prononco
level	klara	स्पष्ट	clear	grupo	alternativoj	prononco
level	komenci	सुरु गर्न, सुरु गर्न	to begin, to commence	grupo	alternativoj	prononco
level	dormi	सुत्नु, सुत्नु	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	एक अंश, एक अंश	a part, a share	grupo	alternativoj	prononco
level	mono	पैसा	money	grupo	alternativoj	prononco
level	ricevi	पाउनु	to receive	grupo	alternativoj	prononco
level	ami	माया गर्न	to love	grupo	alternativoj	prononco
level	devi	to have to, must, should, ough to	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	सक्षम हुनु, सक्छ	be able to, can	grupo	alternativoj	prononco
level	labori	काम गर्न, श्रम गर्न	to work, to labor	grupo	alternativoj	prononco
level	dio	एक देवता	a god	grupo	alternativoj	prononco
level	urbo	एक शहर, एक शहर	a city, a town	grupo	alternativoj	prononco
level	ofta	बारम्बार, अक्सर	freqent, often	grupo	alternativoj	prononco
level	soni	आवाज गर्न, आवाज बनाउन	to sound, to make sound	grupo	alternativoj	prononco
level	tero	पृथ्वी, जमिन, माटो	earth, land, soil	grupo	alternativoj	prononco
level	vivi	बाँच्न, जीवित हुन	to live, to be alive	grupo	alternativoj	prononco
level	resti	रहनु, रहनु	to stay, to remain	grupo	alternativoj	prononco
level	ridi	हाँस्न	to laugh	grupo	alternativoj	prononco
level	homo	एक मानव, एक मानिस	a human, a man	grupo	alternativoj	prononco
level	akvo	पानी	water	grupo	alternativoj	prononco
level	vorto	एक शब्द	a word	grupo	alternativoj	prononco
level	certa	निश्चित, निश्चित	certain, sure	grupo	alternativoj	prononco
level	lando	एक भूमि, एक देश	a land, a country	grupo	alternativoj	prononco
level	sama	समान	same	grupo	alternativoj	prononco
level	ĵeti	फाल्न	to throw	grupo	alternativoj	prononco
level	stelo	एक तारा	a star	grupo	alternativoj	prononco
level	domo	एक घर, एक घर	a house, a home	grupo	alternativoj	prononco
level	nomo	एक नाम, एक उपाधी	a name, an appellation	grupo	alternativoj	prononco
level	vidi	हेर्न	to see	grupo	alternativoj	prononco
level	mola	नरम	soft	grupo	alternativoj	prononco
level	horo	एक घण्टा, बजे, समय	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	एक रूप, एक आकार	a form, a shape	grupo	alternativoj	prononco
level	tago	एक दिन	a day	grupo	alternativoj	prononco
level	fumo	एक धुवाँ	a smoke	grupo	alternativoj	prononco
level	ĉevalo	एउटा घोडा	a horse	grupo	alternativoj	prononco
level	jaro	एक वर्ष	a year	grupo	alternativoj	prononco
level	vojaĝi	भ्रमण गर्नु	to travel	grupo	alternativoj	prononco
level	celo	एक लक्ष्य, एक लक्ष्य, एक उद्देश्य, एक उद्देश्य	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	जन्म दिन, सहन, उत्पन्न गर्न	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	हराउनु, अभाव हुनु, हराउनु	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
