C.te content.tsv
Level	Esperanto	te	en-us	Grupo	Alternativoj	Pronoco
level	kiom	ఎంత ఎన్ని	how much, how many	grupo	alternativoj	prononco
level	ofte	తరచుగా, తరచుగా	often, frequently	grupo	alternativoj	prononco
level	iom	కొద్దిగా, బదులుగా, కొన్ని, కొంతవరకు	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	కొత్త, నవల	new, novel	grupo	alternativoj	prononco
level	-at-	(ప్రత్యయం) నిష్క్రియ వర్తమానం	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(ప్రత్యయం) నిష్క్రియ పాస్ట్ పార్టిసిపుల్	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(ప్రత్యయం) నిష్క్రియ భవిష్యత్ పార్టికల్	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	చాలా, చాలా, చాలా	very, quite, very much	grupo	alternativoj	prononco
level	tro	చాలా, అతిగా, చాలా ఎక్కువ	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	అయితే, అయితే, అయితే, అయితే	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	ఓ! హో!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	అని ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	ఎందుకంటే ~	because ~	grupo	alternativoj	prononco
level	ĉu	లేదో ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(ప్రత్యయం) స్థలం	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(ప్రత్యయం) నాణ్యత యొక్క నైరూప్య పేరు	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	రెండూ ~	both ~	grupo	alternativoj	prononco
level	tuj	వెంటనే, తక్షణం, వెంటనే	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	~ వలె	as if ~	grupo	alternativoj	prononco
level	kiam	ఎప్పుడు	when	grupo	alternativoj	prononco
level	silenti	మౌనంగా ఉండడం, నిశ్శబ్దంగా ఉండడం	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	ఎప్పుడూ, ఏ సమయంలో, ఎప్పుడూ	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	అందువలన, కాబట్టి	therefore, so	grupo	alternativoj	prononco
level	kial	ఎందుకు, దేనికి	why, what for	grupo	alternativoj	prononco
level	kvankam	అయితే ~, అయితే, అయితే	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(ప్రిపోజిషన్) వద్ద ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	మరింత	more	grupo	alternativoj	prononco
level	plej	అత్యంత	most	grupo	alternativoj	prononco
level	diri	చెప్పడానికి, చెప్పడానికి	to say, to tell	grupo	alternativoj	prononco
level	ol ~	కంటే ~	than ~	grupo	alternativoj	prononco
level	paroli	మాట్లాడటానికి, మాట్లాడటానికి	to speak, to talk	grupo	alternativoj	prononco
level	kia	ఎలాంటి, ఏ విధమైన	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	అటువంటి, ఆ రకమైన, అటువంటి ఒక	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	అరుదుగా, అరుదుగా, భయంకరంగా	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	పంపండి	to send	grupo	alternativoj	prononco
level	ĵus	కేవలం (ఒక క్షణం క్రితం), ఇప్పుడే	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(ప్రత్యయం) అత్యవసరం	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	వెలుపల ~	outside ~	grupo	alternativoj	prononco
level	ge-	(ఉపసర్గ) రెండు లింగం, రెండు లింగం	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(ప్రత్యయం) చేస్తాను, తప్పక, సబ్జంక్టివ్	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	త్వరలో	soon	grupo	alternativoj	prononco
level	almenaŭ	కనీసం, ఏమీ లేకపోతే	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(ప్రత్యయం) కంటైనర్; దేశం	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	నేర్చుకోవడం	to learn	grupo	alternativoj	prononco
level	ek-	(ఉపసర్గ) ప్రారంభం; ఆకస్మిక ప్రారంభం	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	ఉంటే, అందించిన	if, provided that	grupo	alternativoj	prononco
level	eĉ	కూడా	even	grupo	alternativoj	prononco
level	amo	ఒక ప్రేమ	a love	grupo	alternativoj	prononco
level	jam	ఇప్పటికే, ఇంత త్వరగా, ఇప్పటికి	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	ఇక్కడ! లో! ఇదిగో	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	ముగించుట, ముగించుట, ముగించుట	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	కాబట్టి, అప్పుడు, అందువలన	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ఎప్పటికీ, (ఏది) ఎప్పుడూ, అన్ని వద్ద, -ఎప్పటికీ	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	సులభమైన, సులభమైన	easy, facile	grupo	alternativoj	prononco
level	re-	(ఉపసర్గ) పునః-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	పెద్ద, గొప్ప, పెద్ద	big, great, large	grupo	alternativoj	prononco
level	-ist-	(ప్రత్యయం) ప్రొఫెషనల్	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(ప్రిపోజిషన్) ~ కారణంగా, ~ కారణంగా	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(ప్రత్యయం) నాయకుడు, యజమాని, తల, అధిపతి	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	ఏమి	what	grupo	alternativoj	prononco
level	manĝi	తినడానికి	to eat	grupo	alternativoj	prononco
level	nenio	ఏమీ లేదు, ఏదీ కాదు	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	యువకుడు	young	grupo	alternativoj	prononco
level	ĉio	ప్రతిదీ	everything	grupo	alternativoj	prononco
level	riĉa	ధనవంతుడు, ధనవంతుడు, సంపన్నుడు	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	ఆ విషయం, అది	that thing, that	grupo	alternativoj	prononco
level	konstrui	నిర్మించడానికి, నిర్మించడానికి	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(ఉపసర్గ) చీఫ్, లీడింగ్, మెయిన్	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(ప్రిపోజిషన్) ~ లేకుండా	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(ప్రిపోజిషన్) తో ~ (కలిసి)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(ప్రిపోజిషన్) ~ తప్ప, ~తో పాటు	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	ఒక స్నేహితుడు	a friend	grupo	alternativoj	prononco
level	kies	ఎవరిది, ఏది, ఏది	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(ప్రిపోజిషన్) ద్వారా ~ (ఒక పద్ధతి), ~ (ఒక సాధనం)తో	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	వ్యతిరేకంగా ~	against ~	grupo	alternativoj	prononco
level	el ~	~ నుండి, ~ నుండి	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	నేడు	today	grupo	alternativoj	prononco
level	hieraŭ	నిన్న	yesterday	grupo	alternativoj	prononco
level	nur	మాత్రమే, కేవలం, ప్రత్యేకంగా	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	సహాయం చేయడానికి, సహాయం చేయడానికి, సహాయం చేయడానికి	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(క్రియా విశేషణం) దూరంగా, దూరంగా	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	లేదా కాదు	nor, neither	grupo	alternativoj	prononco
level	malamo	ఒక ద్వేషం	a hate	grupo	alternativoj	prononco
level	preskaŭ	దాదాపు, దాదాపు	almost, nearly	grupo	alternativoj	prononco
level	tra ~	ద్వారా ~	through ~	grupo	alternativoj	prononco
level	super	పైగా, పైన	over, above	grupo	alternativoj	prononco
level	trans ~	పైగా ~, అంతటా ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	బాగా, అప్పుడు, ఇప్పుడు	well, well then, now	grupo	alternativoj	prononco
level	pri ~	గురించి ~	about ~	grupo	alternativoj	prononco
level	por ~	~ కోసం, ~ కోసం	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	రేపు	tomorrow	grupo	alternativoj	prononco
level	nun	ఇప్పుడు, ప్రస్తుతం	now, at present	grupo	alternativoj	prononco
level	laŭ ~	~ ప్రకారం, పాటు ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	ప్రతి, ప్రతి, అందరూ, అందరూ	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	ఎవరు, ఏది, ఏది	who, which, which one	grupo	alternativoj	prononco
level	tiu	ఆ వ్యక్తి, ఆ ~, ఆ వ్యక్తి, అటువైపు	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	ఎవరైనా, ఎవరైనా, కొందరు	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	ఎవరూ, ఎవరూ, లేదా	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	~ వరకు	to ~	grupo	alternativoj	prononco
level	-ebl-	(ప్రత్యయం) ~ చేయగలరు	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	నిరీక్షణ	to hope	grupo	alternativoj	prononco
level	unu	ఒకటి	one	grupo	alternativoj	prononco
level	du	రెండు	two	grupo	alternativoj	prononco
level	tri	మూడు	three	grupo	alternativoj	prononco
level	kvar	నాలుగు	four	grupo	alternativoj	prononco
level	kvin	ఐదు	five	grupo	alternativoj	prononco
level	ses	ఆరు	six	grupo	alternativoj	prononco
level	sep	ఏడు	seven	grupo	alternativoj	prononco
level	ok	ఎనిమిది	eight	grupo	alternativoj	prononco
level	naŭ	తొమ్మిది	nine	grupo	alternativoj	prononco
level	dek	పది	ten	grupo	alternativoj	prononco
level	cent	వంద	a hundred	grupo	alternativoj	prononco
level	mil	వెయ్యి	a thousand	grupo	alternativoj	prononco
level	-obl-	(ప్రత్యయం) బహుళత్వానికి, -ఓబుల్, -ఫోల్డ్	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(ప్రత్యయం) ~వ, భిన్నం	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	ప్రేమ యొక్క	of love	grupo	alternativoj	prononco
level	anstataŭ ~	బదులుగా ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(ప్రత్యయం) అవుతుంది	(suffix)  become	grupo	alternativoj	prononco
level	voli	కోరుకోవడం, సంకల్పం చేయడం, ఇష్టపడడం	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(ప్రత్యయం) కావడానికి కారణం	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	అనుసరించుట	to follow	grupo	alternativoj	prononco
level	ĝoje	సంతోషముగా	gladly	grupo	alternativoj	prononco
level	legi	చదవడానికి	to read	grupo	alternativoj	prononco
level	silenta	మౌనంగా	silent	grupo	alternativoj	prononco
level	la	ది	the	grupo	alternativoj	prononco
level	ha!	హా!	ha!	grupo	alternativoj	prononco
level	-il-	(ప్రత్యయం) సాధనం, పద్ధతి	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	త్రాగడానికి (ఆల్కహాల్ లేని)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(ప్రత్యయం) చిన్న, చిన్న	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(ప్రత్యయం) పెద్ద, పెద్ద	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(ప్రిపోజిషన్) మధ్య ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(ప్రత్యయం) సంబంధిత ప్రవర్తన	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(ప్రత్యయం) సెట్, సమూహం	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(ప్రత్యయం) సమూహంలోని సభ్యుడు	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	ధన్యవాదంతో	to thank	grupo	alternativoj	prononco
level	-ind-	(ప్రత్యయం) విలువైనది, యోగ్యమైనది	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	మరింత, మరింత, మరియు అందువలన న, మరింత	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	ఎలా, ఇష్టం, ఏ విధంగా, వంటి	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	అటువంటి, ఆ విధంగా, ఆ విధంగా	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(ప్రిపోజిషన్) ~లో	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(ప్రిపోజిషన్) ~ పక్కన, పక్కన ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(ప్రిపోజిషన్) కింద, క్రింద ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(ప్రిపోజిషన్) ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposition) indefinate prep., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(క్రియా విశేషణం) ఇప్పటికీ, ఇంకా	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(ప్రిపోజిషన్) చుట్టూ ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	కాని	but	grupo	alternativoj	prononco
level	ie	ఎక్కడో	somewhere	grupo	alternativoj	prononco
level	kie	ఎక్కడ, ఏ ప్రదేశంలో	where, at what place	grupo	alternativoj	prononco
level	silente	నిశ్శబ్దంగా	silently	grupo	alternativoj	prononco
level	ĉie	ప్రతిచోటా, అన్ని గురించి	everywhere, all about	grupo	alternativoj	prononco
level	nenie	ఎక్కడా, ఏ సందర్భంలో, ఎక్కడా కాదు	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	అక్కడ, అక్కడ, అక్కడ	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	ఇది ~	this ~	grupo	alternativoj	prononco
level	kanti	పాడటానికి	to sing	grupo	alternativoj	prononco
level	morti	చనిపోవడం, గతించడం	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(ప్రిపోజిషన్) సమయంలో ~, అయితే ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	ఒక దేశం	a nation	grupo	alternativoj	prononco
level	koni	(ఒక వ్యక్తి) తెలుసుకోవడం, పరిచయం చేసుకోవడం	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	తెలుసుకోవడం (ఒక వాస్తవం, జ్ఞానం), ఎలాగో తెలుసుకోవడం	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	ఎల్లప్పుడూ, ఎప్పుడూ	always, ever	grupo	alternativoj	prononco
level	iam	కొంత సమయంలో, ఒకసారి	at some time, once	grupo	alternativoj	prononco
level	tiam	అప్పుడు	then	grupo	alternativoj	prononco
level	-em-	(ప్రత్యయం) ధోరణి	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	ఒక రకమైన	some kind of	grupo	alternativoj	prononco
level	sukcesi	రాణించాలంటే	to succeed	grupo	alternativoj	prononco
level	ĉia	అన్ని రకాల, ప్రతి రకమైన	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	లేదు, ఏ రకమైనది కాదు, ఏదీ కాదు	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(ప్రత్యయం) సంతానం	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	ఒక గది, ఒక గది	a room, a chamber	grupo	alternativoj	prononco
level	patro	ఒక తండ్రి	a father	grupo	alternativoj	prononco
level	porko	a pig, swine	a pig, swine	grupo	alternativoj	prononco
level	bo-	(ఉపసర్గ) -ఇన్-లా, వివాహం ద్వారా	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	నిజానికి	indeed	grupo	alternativoj	prononco
level	-ism-	(ప్రత్యయం) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	ఏదో	something	grupo	alternativoj	prononco
level	veturi	నడపడం (వాహనం)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	ఒక కోడి, కోడి, కోడి, కోడి	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	ఉచిత	free	grupo	alternativoj	prononco
level	lasta	చివరిది	last	grupo	alternativoj	prononco
level	ĝoji	సంతోషించు, సంతోషించు, ఆనందించు	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	తీసుకోవడం, పట్టుకోవడం	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	ఒక ఆవు, ఒక ఎద్దు, బోవిన్ జంతువు	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	మరొక, ఇతర, వేరే	another, other, else	grupo	alternativoj	prononco
level	varma	వేడి, వెచ్చని	hot, warm	grupo	alternativoj	prononco
level	loĝi	నివసించడానికి, నివసించడానికి, నివసించడానికి, నివసించడానికి	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	నమ్మడానికి	to believe	grupo	alternativoj	prononco
level	glacio	ఒక చక్కని	an ice	grupo	alternativoj	prononco
level	loko	ఒక స్థలం, ఒక స్థానం	a place, a location	grupo	alternativoj	prononco
level	ovo	ఒక గుడ్డు	an egg	grupo	alternativoj	prononco
level	multa	చాలా, చాలా, చాలా	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	ఒక స్వాధీనం	a possession	grupo	alternativoj	prononco
level	ŝafo	ఒక గొర్రె	a sheep	grupo	alternativoj	prononco
level	sono	ఒక ధ్వని	a sound	grupo	alternativoj	prononco
level	fiŝo	ఒక చేప	a fish	grupo	alternativoj	prononco
level	bela	అందమైన, అందమైన, అందమైన	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	సమాధానం చెప్పడానికి, ప్రతిస్పందించడానికి, ప్రత్యుత్తరం ఇవ్వడానికి	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	ఒక సందర్భం, ఒక సమయం	an occasion, a time	grupo	alternativoj	prononco
level	demandi	అడగటానికి	to ask	grupo	alternativoj	prononco
level	forta	బలమైన	strong	grupo	alternativoj	prononco
level	preter ~	దాటి ~, గతం ~, నేరుగా గతం	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	ఒక నిశ్శబ్దం	a silence	grupo	alternativoj	prononco
level	infano	ఒక బిడ్డ, ఒక శిశువు	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	సంతోషంగా, అదృష్టవంతుడు, అదృష్టవంతుడు	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	పట్టుకోవడం, పట్టుకోవడం, పట్టుకోవడం	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	కోరిక, కోరిక	to desire, to wish	grupo	alternativoj	prononco
level	longa	పొడవు	long	grupo	alternativoj	prononco
level	mondo	ఒక ప్రపంచం	a world	grupo	alternativoj	prononco
level	okazi	సంభవించడం, జరగడం, రావడం	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	క్షేత్రము, ఒక క్షేత్రము	field, a field	grupo	alternativoj	prononco
level	filo	ఓ కొడుకు	a son	grupo	alternativoj	prononco
level	montri	చూపించడానికి, సూచించడానికి, ఎత్తి చూపడానికి	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	ఒక గుండె	a heart	grupo	alternativoj	prononco
level	knabo	ఒక అబ్బాయి	a boy	grupo	alternativoj	prononco
level	meti	పెట్టడానికి, ఉంచడానికి, వేయడానికి	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	ఒక భర్త	a husband	grupo	alternativoj	prononco
level	pako	ప్యాకేజీ	package	grupo	alternativoj	prononco
level	rapida	వేగవంతమైన, శీఘ్ర, వేగవంతమైన	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	అనిపించడం, కనిపించడం	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	ఒక పలకరింపు, వందనం, వందనం	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	వ్రాయటానికి	to write	grupo	alternativoj	prononco
level	peti	అడగడానికి, అడగడానికి, అభ్యర్థించడానికి, యాచించడానికి	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	ఎగరటానికి	to fly	grupo	alternativoj	prononco
level	kapo	ఒక తల, ఒక కేప్	a head, a cape	grupo	alternativoj	prononco
level	krii	అరవడం, కేకలు వేయడం, కేకలు వేయడం	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	ఎరుపు	red	grupo	alternativoj	prononco
level	sinjoro	ఒక మిస్టర్, ఒక పెద్దమనిషి	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	పట్టుకోవడం, వేలాడదీయడం	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	సమయం, ఒక సమయం	time, a time	grupo	alternativoj	prononco
level	tuta	మొత్తం, అన్ని, మొత్తం, పూర్తి, మొత్తం	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	ఒక మనిషి	a man	grupo	alternativoj	prononco
level	vojo	ఒక మార్గం, ఒక మార్గం, ఒక మార్గం	a way, a path, a route	grupo	alternativoj	prononco
level	movi	తరలించడానికి	to move	grupo	alternativoj	prononco
level	militi	యుద్ధాన్ని విచ్ఛిన్నం చేయడానికి, పోరాడటానికి, యుద్ధం చేయడానికి	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	కొన్ని, అనేక	a few, several	grupo	alternativoj	prononco
level	dekstra	కుడి, కుడి (వైపు, దిశ), కుడిచేతి	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	మూసివేయడం, మూసివేయడం	to close, to shut	grupo	alternativoj	prononco
level	okupi	ఆక్రమించుట, తీసుకోవడము	to occupy, to take	grupo	alternativoj	prononco
level	levi	లివర్, ఎత్తడం, పెంచడం	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	కొట్టడం, కొట్టడం, కొట్టడం, కొట్టడం, కొట్టడం	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	అవసరం, కావాలి, అవసరం	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	అర్థం చేసుకోవడం, గ్రహించడం	to understand, to realise	grupo	alternativoj	prononco
level	iri	వెళ్ళడానికి	to go	grupo	alternativoj	prononco
level	veni	వచ్చిన	to come	grupo	alternativoj	prononco
level	porti	తీసుకువెళ్ళడానికి, ధరించడానికి	to carry, to wear	grupo	alternativoj	prononco
level	kovri	కప్పుటకు	to cover	grupo	alternativoj	prononco
level	hela	ప్రకాశవంతమైన, స్పష్టమైన మరియు కాంతి	bright, clear and light	grupo	alternativoj	prononco
level	sana	ఆరోగ్యకరమైన	healthy	grupo	alternativoj	prononco
level	aperi	కనిపించడం, ఉద్భవించడం	to appear, to emerge	grupo	alternativoj	prononco
level	libro	ఒక పుస్తకం	a book	grupo	alternativoj	prononco
level	atendi	వేచి ఉండుటకు, ఆశించుటకు, వేచియుండుట	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	ఒక చేయి	a hand	grupo	alternativoj	prononco
level	pentri	అద్దుటకై	to paint	grupo	alternativoj	prononco
level	instrui	బోధించుట, బోధించుట	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	కూర్చోవడానికి	to sit	grupo	alternativoj	prononco
level	stari	నిలబడటానికి	to stand	grupo	alternativoj	prononco
level	afero	ఒక విషయం, ఒక వస్తువు, ఒక కేసు, ఒక ఆందోళన, ఒక విషయం	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
