B.pa content.tsv
Level	Esperanto	pa	en-us	Grupo	Alternativoj	Pronoco
level	sur ĝi estas ankaŭ adreso	ਇਸ 'ਤੇ ਇੱਕ ਪਤਾ ਵੀ ਹੈ	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	ਇੱਕ ਵੈਬਸਾਈਟ ਦਾ ਪਤਾ ਹੈ	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	ਐਸਪਰਨਾਟੋ ਕੋਰਸ ਵਾਲੀ ਸਾਈਟ ਦਾ ਪਤਾ	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	ਤੁਹਾਡਾ ਧੰਨਵਾਦ	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	ਮੈਂ ਤੁਹਾਨੂੰ ਇੱਕ ਈ-ਮੇਲ ਭੇਜਾਂਗਾ	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	ਠੀਕ ਹੈ!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	ਤੁਹਾਨੂੰ ਦੁਬਾਰਾ ਮਿਲਦੇ ਹਾਂ, ਅਤੇ ਚੰਗੀ ਰਾਤ!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	ਫਿਰ ਮਿਲਾਂਗੇ!	see you!	grupo	alternativoj	prononco
level	aperas en ~	~ ਵਿੱਚ ਦਿਖਾਈ ਦਿੰਦਾ ਹੈ	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	ਇੱਕ ਤਤਕਾਲ ਦੂਤ	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ ਤਤਕਾਲ ਮੈਸੇਂਜਰ ਵਿੱਚ ਦਿਖਾਈ ਦਿੰਦਾ ਹੈ	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	ਕੀ ਤੁਸੀਂ ਉਹ ਵਿਅਕਤੀ ਹੋ?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	ਉਹ ਵਿਅਕਤੀ, ਜਿਸਨੇ ਮੇਰੇ ਨਾਲ ਨੱਚਿਆ ਸੀ	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	ਸ਼ਨੀਵਾਰ ਰਾਤ	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	ਕੀ ਤੁਸੀਂ ਉਹ ਵਿਅਕਤੀ ਹੋ, ਜਿਸਨੇ ਸ਼ਨੀਵਾਰ ਰਾਤ ਮੇਰੇ ਨਾਲ ਨੱਚਿਆ ਸੀ?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	ਹਾਂ ਇਹ ਮੈਂ ਹਾਂ	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	ਮੈਨੂੰ ਖੁਸ਼ੀ ਹੈ ਕਿ ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	ਮੈਨੂੰ ਖੁਸ਼ੀ ਹੈ ਕਿ ਤੁਸੀਂ ਸਾਈਟ 'ਤੇ ਆਏ ਹੋ	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	ਕੀ ਇਹ ਤੁਹਾਡੇ ਲਈ ਪ੍ਰਸੰਨ ਹੈ? (ਕੀ ਤੁਹਾਨੂੰ ਚੰਗਾ ਲੱਗਿਆ?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	ਹਾਂ, ਹਾਂ	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	ਇਹ ਬਹੁਤ ਸੁੰਦਰ ਹੈ	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	ਦਿਲਚਸਪ ਲੱਗਦਾ ਹੈ	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	ਇਹ ਬਹੁਤ ਸੁੰਦਰ ਹੈ ਅਤੇ ਦਿਲਚਸਪ ਲੱਗਦਾ ਹੈ	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ਅਜੇ ਨਹੀਂ ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	ਪੂਰੀ ਤਰ੍ਹਾਂ ਤਿਆਰ ਨਹੀਂ ਹੈ	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	ਇਹ ਅਜੇ ਪੂਰੀ ਤਰ੍ਹਾਂ ਤਿਆਰ ਨਹੀਂ ਹੈ	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	ਪਰ ਜਲਦੀ ਹੀ ਇਹ ਹੋ ਜਾਵੇਗਾ	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	ਮੈਂ ਸਮਝਦਾ ਹਾਂ (ਮੈਂ ਵੇਖਦਾ ਹਾਂ)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	ਪਰ ਪਹਿਲਾਂ ਹੀ ਬਹੁਤ ਸਾਰੇ ਮਦਦ ਟੂਲ ਹਨ	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	ਇੱਕ ਸ਼ਬਦਕੋਸ਼	a dictionary	grupo	alternativoj	prononco
level	superrigardo	ਇੱਕ ਸੰਖੇਪ ਜਾਣਕਾਰੀ	an overview	grupo	alternativoj	prononco
level	ekzerco	ਇੱਕ ਆਬਕਾਰੀ	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	ਉਦਾਹਰਨ ਸ਼ਬਦ, ਸੰਖੇਪ ਜਾਣਕਾਰੀ, ਸੰਦੇਸ਼ਵਾਹਕ ਅਤੇ ਅਭਿਆਸ	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	ਵਿਆਕਰਣ ਦੀ ਇੱਕ ਸੰਖੇਪ ਜਾਣਕਾਰੀ	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	ਇੱਕ ਤਤਕਾਲ ਦੂਤ ਅਤੇ ਵੱਖ-ਵੱਖ ਅਭਿਆਸ	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	ਇਹ ਇੱਕ ਚੰਗੀ ਸ਼ੁਰੂਆਤ ਹੈ	it is a good start	grupo	alternativoj	prononco
level	pardonon	ਮੈਨੂੰ ਮਾਫ਼ ਕਰਨਾ ਮੈਨੂੰ ਮਾਫ਼ ਕਰਨਾ	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	ਮੈਨੂੰ ~ ਨਾਲ ਗੱਲ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	ਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਨਾਲ ਗੱਲ ਕਰਨ ਲਈ	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	ਮੈਨੂੰ ਮਾਫ਼ ਕਰਨਾ, ਮੈਨੂੰ ਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਨਾਲ ਗੱਲ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	ਇੱਕ ਭਾਸ਼ਾ ਸਹਾਇਕ	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	ਮੈਂ ਉਸਦੀ ਭਾਸ਼ਾ ਸਹਾਇਕ ਹਾਂ	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	ਅਤੇ ਹੁਣ ਉਹ ~ ਬਾਰੇ ਗੱਲ ਕਰਨਾ ਚਾਹੁੰਦੀ ਹੈ	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	ਇੱਕ ਅਭਿਆਸ ਬਾਰੇ ਗੱਲ ਕਰਨ ਲਈ	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	ਜਲਦੀ ਹੀ ਵਾਪਸ ਆ ਜਾਵੇਗਾ	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	ਮੈਂ ਜਲਦੀ ਹੀ ਤੁਹਾਡੇ ਕੋਲ ਵਾਪਸ ਆਵਾਂਗਾ	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	ਕਈ ਮਿੰਟ ਬਾਅਦ	after several minutes	grupo	alternativoj	prononco
level	finparolis	ਗੱਲ ਪੂਰੀ ਕੀਤੀ	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	ਹੁਣ ਅਸੀਂ ਅਭਿਆਸ ਬਾਰੇ ਗੱਲ ਕੀਤੀ	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	ਇਸ ਦੌਰਾਨ, ਕੁਝ ਸਮੇਂ ਲਈ	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	ਮੈਂ ਇਸ ਦੌਰਾਨ ਐਸਪੇਰਾਂਟੋ ਬਾਰੇ ਪੜ੍ਹਿਆ	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	ਮੈਨੂੰ ਯਕੀਨ ਨਹੀਂ ਹੈ	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	~ ਬਾਰੇ ਕਾਫ਼ੀ ਜਾਣਦਾ ਹੈ	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	ਮੈਨੂੰ ਭਾਸ਼ਾ ਬਾਰੇ ਕਾਫ਼ੀ ਨਹੀਂ ਪਤਾ, ਅਜੇ	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	ਇੱਕ ਸਮਾਰਟ ਜਵਾਬ	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	ਮੈਂ ਸਾਈਟ ਵਿੱਚ ਦੇਖਾਂਗਾ	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	ਅਤੇ ਥੋੜਾ ਸਿੱਖਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਾਂਗੇ	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	ਕੀ ਤੁਸੀਂ ਮੇਰੀ ਭਾਸ਼ਾ ਸਹਾਇਕ ਬਣਨਾ ਚਾਹੁੰਦੇ ਹੋ?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	ਆਪਣੀ ਮਰਜ਼ੀ ਨਾਲ!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	ਤੁਹਾਡਾ ਸਵਾਗਤ ਹੈ!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	ਧੰਨਵਾਦ ਦੇ ਯੋਗ ਨਹੀਂ, ਪਰ ਇੱਕ ਚੁੰਮਣ ਦੇ ਯੋਗ	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	ਕਹਿੰਦਾ ਹੈ ਕਿ ਐਸਪੇਰਾਂਟੋ ਵਿੱਚ	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	ਕੀ? ਮੈਨੂੰ ਸਮਝ ਨਹੀਂ ਆਉਂਦੀ	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	ਤੁਸੀਂ ਡਿਕਸ਼ਨਰੀ ਵਿੱਚ ਦੇਖ ਸਕਦੇ ਹੋ	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	ਬਦਕਿਸਮਤੀ ਨਾਲ	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	ਮੈਨੂੰ ਹੁਣ ਇੰਟਰਨੈੱਟ ਤੋਂ ਦੂਰ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	ਮੈਂ ਸ਼ਾਮ ਨੂੰ ਵਾਪਸ ਆਵਾਂਗਾ	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	ਮੈਨੂੰ ਲਗਦਾ ਹੈ ਕਿ ਮੈਂ ਉਸ ਸਮੇਂ ਤੱਕ ਸਾਈਟ 'ਤੇ ਹੋਵਾਂਗਾ	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	ਸੰਪੂਰਣ!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	ਖੈਰ, ਫਿਰ ਮਿਲਾਂਗੇ!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	ਫਿਰ ਮਿਲਦੇ ਹਾਂ!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	ਸ਼ਾਮ ਨੂੰ, ਤਤਕਾਲ ਮੈਸੇਂਜਰ 'ਤੇ ਵੀ	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	ਹੈਲੋ ਦੁਬਾਰਾ! (ਦੁਬਾਰਾ-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	ਹੈਲੋ ਦੁਬਾਰਾ!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	ਮੈਂ ਸਾਈਟ ਤੋਂ ਲਗਭਗ ਸਾਰੇ ਪੰਨਿਆਂ ਨੂੰ ਦੇਖਿਆ	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	ਕਾਫ਼ੀ ਚੰਗਾ! ਸ਼ਾਨਦਾਰ!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	ਮੇਰੇ ਕਈ ਸਵਾਲ ਹਨ	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	ਕੀ ਤੁਹਾਡੇ ਕੋਲ ਸਮਾਂ ਹੈ?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	ਹਾਂ, ਮੈਂ ਸ਼ਾਮ ਨੂੰ ਖਾਲੀ ਹਾਂ	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	ਇਸ ਲਈ, ਆਪਣੇ ਸਵਾਲ ਲਿਖੋ	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	ਮੈਂ ਜਵਾਬ ਦੇਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਾਂਗਾ	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	ਮੈਂ ਪੜ੍ਹਿਆ ਕਿ ਐਸਪੇਰਾਂਟੋ ਦਾ ਸੱਭਿਆਚਾਰ ਹੈ	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	ਹਾਲਾਂਕਿ ਮੈਂ ਨਹੀਂ ਸਮਝਦਾ ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	ਜਿੱਥੇ ਮੈਨੂੰ ਅਜਿਹਾ ਸੱਭਿਆਚਾਰ ਮਿਲ ਸਕਦਾ ਹੈ	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	ਤੁਸੀਂ ਕਿਤੇ ਵੀ ਲੱਭੋਗੇ, ਜਿੱਥੇ ~ ਹੈ	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	ਕੋਈ ਵੀ ਥਾਂ ਜਿੱਥੇ ਐਸਪੇਰਾਂਟੋ ਬੋਲਣ ਵਾਲੇ ਲੋਕ ਹਨ	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	ਪਰ ਕੋਈ ਵੀ ਲੋਕ ਐਸਪੇਰਾਂਟੋ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਨ	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	ਸਹੀ!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	ਪਰ ਐਸਪੇਰਾਂਤੋ ਬੋਲਣ ਵਾਲੇ ਲੋਕ	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	ਅਕਸਰ ਯਾਤਰਾ ਕਰਦੇ ਹਨ ਅਤੇ ਦੂਜੇ ਐਸਪੇਰੈਂਟਿਸਟਾਂ ਨੂੰ ਮਿਲਦੇ ਹਨ	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	ਉਨ੍ਹਾਂ ਮੀਟਿੰਗਾਂ ਦੌਰਾਨ	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	ਉਹ ਵੱਖ-ਵੱਖ ਸਥਿਤੀਆਂ ਵਿੱਚ ਭਾਸ਼ਾ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਨ	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	ਇਸ ਲਈ ਉੱਥੇ ਤੁਹਾਨੂੰ ~ ਮਿਲੇਗਾ	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	ਤੁਹਾਨੂੰ ਸਭਿਆਚਾਰ ਲੱਭ ਜਾਵੇਗਾ	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	ਐਸਪੇਰਾਂਟੋ ਦੇ ਸਭਿਆਚਾਰ ਨੂੰ ਲੱਭ ਜਾਵੇਗਾ	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	ਠੀਕ ਹੈ, ਕੀ ਸੰਗੀਤ ਮੌਜੂਦ ਹੈ?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	ਸੰਗੀਤ, ਸਾਹਿਤ, ਥੀਏਟਰ	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	ਆਦਿ	etc	grupo	alternativoj	prononco
level	same kiel ~	ਸਮਾਨ ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	ਜਿਵੇਂ ਕਿ ਹੋਰ ਭਾਸ਼ਾਵਾਂ ਲਈ ਹਨ	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	ਮਾਤਰਾ ਇੰਨੀ ਵੱਡੀ ਨਹੀਂ ਹੈ	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	ਰਾਸ਼ਟਰੀ ਭਾਸ਼ਾਵਾਂ ਜਿੰਨਾ ਵੱਡਾ	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	ਪਰ ਇਹ ਮਹੱਤਵਪੂਰਨ ਨਹੀਂ ਹੈ	but that's not important	grupo	alternativoj	prononco
