C.ms content.tsv
Level	Esperanto	ms	en-us	Grupo	Alternativoj	Pronoco
level	diri	untuk mengatakan, untuk memberitahu	to say, to tell	grupo	alternativoj	prononco
level	ol ~	daripada ~	than ~	grupo	alternativoj	prononco
level	paroli	bercakap, bercakap	to speak, to talk	grupo	alternativoj	prononco
level	kia	macam mana, macam mana	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	itu, itu, seperti itu	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	hampir tidak, hampir tidak, hampir tidak	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	untuk hantar	to send	grupo	alternativoj	prononco
level	ĵus	tadi (sebentar tadi), tadi	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	<suffix>mustahak	<suffix> imperative	grupo	alternativoj	prononco
level	ekster ~	luar ~	outside ~	grupo	alternativoj	prononco
level	ge-	<prefix>kedua-dua jantina, kedua-dua jantina	<prefix> both sex, both gender	grupo	alternativoj	prononco
level	-us	<suffix>akan, sepatutnya, subjungtif	<suffix> would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	tidak lama lagi	soon	grupo	alternativoj	prononco
level	almenaŭ	sekurang-kurangnya, jika tiada yang lain	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	<suffix>bekas; negara	<suffix> container; country	grupo	alternativoj	prononco
level	lerni	untuk belajar	to learn	grupo	alternativoj	prononco
level	ek-	<prefix>permulaan; mula tiba-tiba	<prefix> beginning; sudden start	grupo	alternativoj	prononco
level	se	jika, dengan syarat itu	if, provided that	grupo	alternativoj	prononco
level	eĉ	malah	even	grupo	alternativoj	prononco
level	amo	sebuah cinta	a love	grupo	alternativoj	prononco
level	jam	sudah, tidak lama lagi, setakat ini	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Di sini! Lo! Lihatlah	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	untuk menamatkan, untuk menamatkan, untuk menamatkan	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	jadi, maka, oleh itu	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ pernah, (apa) pernah, sama sekali, -sesuatu	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	mudah, mudah	easy, facile	grupo	alternativoj	prononco
level	re-	<prefix>semula	<prefix> re-	grupo	alternativoj	prononco
level	granda	besar, hebat, besar	big, great, large	grupo	alternativoj	prononco
level	-ist-	<suffix>profesional	<suffix> professional	grupo	alternativoj	prononco
level	pro ~	<preposition>kerana ~, kerana ~	<preposition> because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	<suffix>ketua, ketua, ketua, ketua	<suffix> leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	apa	what	grupo	alternativoj	prononco
level	manĝi	untuk makan	to eat	grupo	alternativoj	prononco
level	nenio	tiada, tiada, tiada apa-apa	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	muda	young	grupo	alternativoj	prononco
level	ĉio	segala-galanya	everything	grupo	alternativoj	prononco
level	riĉa	kaya, kaya, kaya	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	perkara itu, itu	that thing, that	grupo	alternativoj	prononco
level	konstrui	membina, membina	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	<prefix>ketua, ketua, utama	<prefix> chief, leading, main	grupo	alternativoj	prononco
level	sen ~	<preposition>tanpa ~	<preposition> without ~	grupo	alternativoj	prononco
level	kun ~	<preposition>dengan ~ (bersama)	<preposition> with ~ (together)	grupo	alternativoj	prononco
level	krom ~	<preposition>kecuali ~, selain ~	<preposition> except ~, besides ~	grupo	alternativoj	prononco
level	amiko	seorang kawan	a friend	grupo	alternativoj	prononco
level	kies	yang mana, yang mana, yang mana	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	<preposition>dengan ~ (kaedah), dengan ~ (alat)	<preposition> by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	terhadap ~	against ~	grupo	alternativoj	prononco
level	el ~	daripada ~, daripada ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	hari ini	today	grupo	alternativoj	prononco
level	hieraŭ	semalam	yesterday	grupo	alternativoj	prononco
level	nur	hanya, hanya, secara eksklusif	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	menolong, menolong, menolong	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	<adverb>jauh	<adverb> far, away	grupo	alternativoj	prononco
level	nek	mahupun, tidak juga	nor, neither	grupo	alternativoj	prononco
level	malamo	suatu kebencian	a hate	grupo	alternativoj	prononco
level	preskaŭ	hampir, hampir	almost, nearly	grupo	alternativoj	prononco
level	tra ~	melalui ~	through ~	grupo	alternativoj	prononco
level	super	atas, atas	over, above	grupo	alternativoj	prononco
level	trans ~	atas ~, seberang ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	baik, baik dahulu, sekarang	well, well then, now	grupo	alternativoj	prononco
level	pri ~	tentang ~	about ~	grupo	alternativoj	prononco
level	por ~	untuk ~, supaya ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	esok	tomorrow	grupo	alternativoj	prononco
level	nun	sekarang, pada masa ini	now, at present	grupo	alternativoj	prononco
level	laŭ ~	mengikut ~, sepanjang ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	setiap, setiap, semua orang, semua	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	siapa, yang mana, yang mana satu	who, which, which one	grupo	alternativoj	prononco
level	tiu	orang itu, itu ~, itu, di sana	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	seseorang, seseorang, beberapa	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	tiada siapa, tiada siapa, tidak juga	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	kepada ~	to ~	grupo	alternativoj	prononco
level	-ebl-	<suffix>~boleh	<suffix> ~able	grupo	alternativoj	prononco
level	esperi	untuk berharap	to hope	grupo	alternativoj	prononco
level	unu	satu	one	grupo	alternativoj	prononco
level	du	dua	two	grupo	alternativoj	prononco
level	tri	tiga	three	grupo	alternativoj	prononco
level	kvar	empat	four	grupo	alternativoj	prononco
level	kvin	lima	five	grupo	alternativoj	prononco
level	ses	enam	six	grupo	alternativoj	prononco
level	sep	tujuh	seven	grupo	alternativoj	prononco
level	ok	lapan	eight	grupo	alternativoj	prononco
level	naŭ	sembilan	nine	grupo	alternativoj	prononco
level	dek	sepuluh	ten	grupo	alternativoj	prononco
level	cent	seratus	a hundred	grupo	alternativoj	prononco
level	mil	seribu	a thousand	grupo	alternativoj	prononco
level	-obl-	<suffix>untuk kepelbagaian, -oble, -fold	<suffix> for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	<suffix>~ ke, pecahan	<suffix> ~th, fraction	grupo	alternativoj	prononco
level	ama	cinta	of love	grupo	alternativoj	prononco
level	anstataŭ ~	bukannya ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	<suffix>menjadi	<suffix> become	grupo	alternativoj	prononco
level	voli	mahu, berkehendak, berkemahuan	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	<suffix>menyebabkan menjadi	<suffix> cause to become	grupo	alternativoj	prononco
level	sekvi	ikut	to follow	grupo	alternativoj	prononco
level	ĝoje	dengan senang hati	gladly	grupo	alternativoj	prononco
level	legi	untuk membaca	to read	grupo	alternativoj	prononco
level	silenta	senyap	silent	grupo	alternativoj	prononco
level	la	yang	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	<suffix>alat, kaedah	<suffix> tool, method	grupo	alternativoj	prononco
level	trinki	minum (bukan alkohol)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	<suffix>kecil, kecil	<suffix> small, little	grupo	alternativoj	prononco
level	-eg-	<suffix>besar, besar	<suffix> big, large	grupo	alternativoj	prononco
level	inter ~	<preposition>antara ~	<preposition> between ~	grupo	alternativoj	prononco
level	-um-	<suffix>tingkah laku yang berkaitan	<suffix> related behavior	grupo	alternativoj	prononco
level	-ar-	<suffix>set, kumpulan	<suffix> set, group	grupo	alternativoj	prononco
level	-an-	<suffix>ahli kumpulan	<suffix> member of a group	grupo	alternativoj	prononco
level	danki	untuk berterima kasih	to thank	grupo	alternativoj	prononco
level	-ind-	<suffix>berbaloi, layak	<suffix> worthwhile, worthy	grupo	alternativoj	prononco
level	plu	bahkan lebih, lebih jauh, dan seterusnya, lebih banyak lagi	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	bagaimana, seperti, dengan cara apa, seperti	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	sedemikian, dengan cara itu, dengan demikian	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	<preposition>dalam ~	<preposition> in ~	grupo	alternativoj	prononco
level	apud ~	<preposition>sebelah ~, sebelah ~	<preposition> next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	<preposition>di bawah, di bawah ~	<preposition> under, beneath ~	grupo	alternativoj	prononco
level	sur ~	<preposition>pada ~	<preposition> on ~	grupo	alternativoj	prononco
level	je ~	<preposition>persediaan tidak tentu., pada, dalam, oleh, pada	<preposition> indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	<adverb>masih belum	<adverb> still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	<preposition>sekitar ~	<preposition> around ~	grupo	alternativoj	prononco
level	sed	tetapi	but	grupo	alternativoj	prononco
level	ie	di suatu tempat	somewhere	grupo	alternativoj	prononco
level	kie	di mana, di tempat apa	where, at what place	grupo	alternativoj	prononco
level	silente	secara senyap	silently	grupo	alternativoj	prononco
level	ĉie	di mana-mana, semua tentang	everywhere, all about	grupo	alternativoj	prononco
level	nenie	tiada di mana-mana, dalam apa jua keadaan, tidak di mana-mana	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	sana, sana, sana	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	ini ~	this ~	grupo	alternativoj	prononco
level	kanti	untuk menyanyi	to sing	grupo	alternativoj	prononco
level	morti	mati, meninggal dunia	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	<preposition>semasa ~, manakala ~	<preposition> during ~, while ~	grupo	alternativoj	prononco
level	nacio	sebuah bangsa	a nation	grupo	alternativoj	prononco
level	koni	untuk mengetahui (seseorang), untuk berkenalan	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	untuk mengetahui (sesuatu fakta, pengetahuan), untuk mengetahui bagaimana	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	sentiasa, sentiasa	always, ever	grupo	alternativoj	prononco
level	iam	pada suatu masa, sekali	at some time, once	grupo	alternativoj	prononco
level	tiam	kemudian	then	grupo	alternativoj	prononco
level	-em-	<suffix>kecenderungan	<suffix> tendancy	grupo	alternativoj	prononco
level	ia	beberapa jenis	some kind of	grupo	alternativoj	prononco
level	sukcesi	untuk berjaya	to succeed	grupo	alternativoj	prononco
level	ĉia	semua jenis, setiap jenis	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	tidak, bukan apa-apa, bukan apa-apa	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	<suffix>zuriat	<suffix> offspring	grupo	alternativoj	prononco
level	ĉambro	bilik, bilik	a room, a chamber	grupo	alternativoj	prononco
level	patro	seorang bapa	a father	grupo	alternativoj	prononco
level	porko	babi, babi	a pig, swine	grupo	alternativoj	prononco
level	bo-	<prefix>-mertua, melalui perkahwinan	<prefix> -in-law, by marriage	grupo	alternativoj	prononco
level	ja	sungguh	indeed	grupo	alternativoj	prononco
level	-ism-	<suffix>-isme	<suffix> -ism	grupo	alternativoj	prononco
level	io	sesuatu	something	grupo	alternativoj	prononco
level	veturi	memandu (kenderaan)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	ayam, ayam, ayam, ayam	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	percuma	free	grupo	alternativoj	prononco
level	lasta	terakhir	last	grupo	alternativoj	prononco
level	ĝoji	untuk bergembira, untuk bergembira, untuk menikmati	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	untuk mengambil, untuk memegang	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	lembu, lembu, haiwan lembu	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	lain, lain, lain	another, other, else	grupo	alternativoj	prononco
level	varma	panas, hangat	hot, warm	grupo	alternativoj	prononco
level	loĝi	untuk tinggal, untuk hidup, untuk tinggal, untuk mendiami	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	untuk percaya	to believe	grupo	alternativoj	prononco
level	glacio	yang bagus	an ice	grupo	alternativoj	prononco
level	loko	tempat, lokasi	a place, a location	grupo	alternativoj	prononco
level	ovo	sebiji telur	an egg	grupo	alternativoj	prononco
level	multa	banyak, banyak, banyak	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	sesuatu milikan	a possession	grupo	alternativoj	prononco
level	ŝafo	seekor biri-biri	a sheep	grupo	alternativoj	prononco
level	sono	bunyi	a sound	grupo	alternativoj	prononco
level	fiŝo	seekor ikan	a fish	grupo	alternativoj	prononco
level	bela	cantik, kacak, cantik	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	untuk menjawab, untuk menjawab, untuk membalas	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	suatu kesempatan, suatu masa	an occasion, a time	grupo	alternativoj	prononco
level	demandi	untuk bertanya	to ask	grupo	alternativoj	prononco
level	forta	kuat	strong	grupo	alternativoj	prononco
level	preter ~	melampaui ~, lalu ~, lalu lurus	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	kesunyian	a silence	grupo	alternativoj	prononco
level	infano	seorang kanak-kanak, seorang bayi	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	gembira, bertuah, bertuah	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	menangkap, menangkap, bergelut	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	berkeinginan, berhajat	to desire, to wish	grupo	alternativoj	prononco
level	longa	panjang	long	grupo	alternativoj	prononco
level	mondo	sebuah dunia	a world	grupo	alternativoj	prononco
level	okazi	berlaku, berlaku, berlaku	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	padang, padang	field, a field	grupo	alternativoj	prononco
level	filo	anak lelaki	a son	grupo	alternativoj	prononco
level	montri	untuk menunjukkan, untuk menunjukkan, untuk menunjukkan	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	hati	a heart	grupo	alternativoj	prononco
level	knabo	Seorang budak lelaki	a boy	grupo	alternativoj	prononco
level	meti	meletakkan, meletakkan, meletakkan	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	seorang suami	a husband	grupo	alternativoj	prononco
level	pako	pakej	package	grupo	alternativoj	prononco
level	rapida	cepat, cepat, pantas	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	nampak, nampak	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	salam, selawat, salam	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	untuk menulis	to write	grupo	alternativoj	prononco
level	peti	meminta, meminta, meminta, mengemis	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	untuk terbang	to fly	grupo	alternativoj	prononco
level	kapo	kepala, jubah	a head, a cape	grupo	alternativoj	prononco
level	krii	menjerit, menangis, menjerit, menjerit	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	merah	red	grupo	alternativoj	prononco
level	sinjoro	seorang tuan, seorang yang budiman	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	untuk memegang, untuk menggantung ke	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	masa, masa	time, a time	grupo	alternativoj	prononco
level	tuta	keseluruhan, semua, keseluruhan, lengkap, keseluruhan	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	seorang lelaki	a man	grupo	alternativoj	prononco
level	vojo	jalan, jalan, laluan	a way, a path, a route	grupo	alternativoj	prononco
level	movi	untuk bergerak	to move	grupo	alternativoj	prononco
level	militi	untuk memecahkan perang, untuk berperang, untuk berperang	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	beberapa, beberapa	a few, several	grupo	alternativoj	prononco
level	dekstra	kanan, kanan (sisi, arah), kanan	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	untuk menutup, untuk menutup	to close, to shut	grupo	alternativoj	prononco
level	okupi	untuk menduduki, untuk mengambil	to occupy, to take	grupo	alternativoj	prononco
level	levi	untuk tuas, untuk mengangkat, untuk menaikkan	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	pukul, pukul, pukul, pukul, pukul, pukul	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	memerlukan, mahu, memerlukan	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	untuk memahami, untuk menyedari	to understand, to realise	grupo	alternativoj	prononco
level	iri	untuk pergi	to go	grupo	alternativoj	prononco
level	veni	untuk datang	to come	grupo	alternativoj	prononco
level	porti	untuk membawa, memakai	to carry, to wear	grupo	alternativoj	prononco
level	kovri	untuk menampung	to cover	grupo	alternativoj	prononco
level	hela	terang, terang dan terang	bright, clear and light	grupo	alternativoj	prononco
level	sana	sihat	healthy	grupo	alternativoj	prononco
level	aperi	untuk muncul, untuk muncul	to appear, to emerge	grupo	alternativoj	prononco
level	libro	sebuah buku	a book	grupo	alternativoj	prononco
level	atendi	untuk menunggu, untuk mengharapkan, untuk menunggu	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	tangan	a hand	grupo	alternativoj	prononco
level	pentri	mengecat	to paint	grupo	alternativoj	prononco
level	instrui	untuk mengajar, untuk mengajar	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	duduk	to sit	grupo	alternativoj	prononco
level	stari	untuk berdiri	to stand	grupo	alternativoj	prononco
level	afero	sesuatu, objek, kes, kebimbangan, mater	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	penuh, lengkap	full, complete	grupo	alternativoj	prononco
level	klara	jelas	clear	grupo	alternativoj	prononco
level	komenci	untuk memulakan, untuk memulakan	to begin, to commence	grupo	alternativoj	prononco
level	dormi	untuk tidur, untuk tidur	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	bahagian, bahagian	a part, a share	grupo	alternativoj	prononco
level	mono	wang	money	grupo	alternativoj	prononco
level	ricevi	untuk menerima	to receive	grupo	alternativoj	prononco
level	ami	untuk mencintai	to love	grupo	alternativoj	prononco
level	devi	terpaksa, mesti, patut, patut	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	boleh, boleh	be able to, can	grupo	alternativoj	prononco
level	labori	untuk bekerja, untuk bekerja	to work, to labor	grupo	alternativoj	prononco
level	dio	Tuhan	a god	grupo	alternativoj	prononco
level	urbo	sebuah bandar, sebuah bandar	a city, a town	grupo	alternativoj	prononco
level	ofta	kerap, kerap	freqent, often	grupo	alternativoj	prononco
level	soni	untuk berbunyi, untuk membuat bunyi	to sound, to make sound	grupo	alternativoj	prononco
level	tero	bumi, tanah, tanah	earth, land, soil	grupo	alternativoj	prononco
level	vivi	untuk hidup, untuk hidup	to live, to be alive	grupo	alternativoj	prononco
level	resti	untuk tinggal, untuk kekal	to stay, to remain	grupo	alternativoj	prononco
level	ridi	untuk ketawa	to laugh	grupo	alternativoj	prononco
level	homo	seorang manusia, seorang lelaki	a human, a man	grupo	alternativoj	prononco
level	akvo	air	water	grupo	alternativoj	prononco
level	vorto	satu perkataan	a word	grupo	alternativoj	prononco
level	certa	pasti, pasti	certain, sure	grupo	alternativoj	prononco
level	lando	sebuah tanah, sebuah negara	a land, a country	grupo	alternativoj	prononco
level	sama	sama	same	grupo	alternativoj	prononco
level	ĵeti	untuk dilemparkan	to throw	grupo	alternativoj	prononco
level	stelo	bintang	a star	grupo	alternativoj	prononco
level	domo	sebuah rumah, sebuah rumah	a house, a home	grupo	alternativoj	prononco
level	nomo	nama, sebutan	a name, an appellation	grupo	alternativoj	prononco
level	vidi	untuk melihat	to see	grupo	alternativoj	prononco
level	mola	lembut	soft	grupo	alternativoj	prononco
level	horo	satu jam, jam, masa	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	bentuk, bentuk	a form, a shape	grupo	alternativoj	prononco
level	tago	satu hari	a day	grupo	alternativoj	prononco
level	fumo	asap	a smoke	grupo	alternativoj	prononco
level	ĉevalo	seekor kuda	a horse	grupo	alternativoj	prononco
level	jaro	setahun	a year	grupo	alternativoj	prononco
level	vojaĝi	untuk melancong	to travel	grupo	alternativoj	prononco
level	celo	matlamat, sasaran, tujuan, objektif	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	melahirkan, melahirkan, menjana	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	rindu, kurang, rindu	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	burung	a bird	grupo	alternativoj	prononco
level	halti	berhenti, berhenti, terhenti	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	seorang abang	a brother	grupo	alternativoj	prononco
level	monto	Gunung	a mountain	grupo	alternativoj	prononco
level	pensi	fikir	to think	grupo	alternativoj	prononco
level	permesi	membenarkan, membenarkan	to permit, to allow	grupo	alternativoj	prononco
level	kosti	kepada kos	to cost	grupo	alternativoj	prononco
level	lito	katil, sofa	a bed, a couch	grupo	alternativoj	prononco
level	perdi	kalah	to lose	grupo	alternativoj	prononco
level	miri	terperanjat, terperanjat, terperanjat	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	seorang	a person	grupo	alternativoj	prononco
level	diversa	pelbagai, pelbagai, pelbagai	diverse, varied, various	grupo	alternativoj	prononco
level	provi	mencuba, mencuba	to try, to attempt	grupo	alternativoj	prononco
level	pagi	bayar	to pay	grupo	alternativoj	prononco
level	prezenti	mempersembahkan, memperkenalkan	to present, to introduce	grupo	alternativoj	prononco
level	aparta	terpisah, khusus, terpisah	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	betul, betul	right, a right	grupo	alternativoj	prononco
level	mateno	pagi, pagi	morning, a morning	grupo	alternativoj	prononco
