B.el content.tsv
Level	Esperanto	el	en-us	Grupo	Alternativoj	Pronoco
level	mi diris ke via nomo rilatas al Esperanto	Είπα ότι το όνομά σου σχετίζεται με την Εσπεράντο	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	Πραγματικά?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	μια είδηση για μένα	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	αυτό είναι μια είδηση για μένα	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	ακούσατε για ~ ;	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	ακούσατε για την Εσπεράντο;	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Δεν το ήξερα ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	αλλά δεν ήξερα ότι το όνομά μου σχετίζεται με αυτό	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	στην πραγματικότητα	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	πώς είναι ~;	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	πως ειναι η σχεση?	how is the relation?	grupo	alternativoj	prononco
level	ho!	ω!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	αυτό είναι μια μεγάλη ιστορία	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	θα σου πω	will tell you	grupo	alternativoj	prononco
level	se vi volas	αν θέλεις	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Θα σου πω αργότερα, αν θέλεις	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	σε αυτό το μέρος (σε αυτήν την τοποθεσία)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	πολυ φασαρια	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	σε αυτό το μέρος, υπάρχει πολύς θόρυβος	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Ναι έχεις δίκιο	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	χορεύουμε?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	καλή ιδέα!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	ευχαριστώ για μια ευχάριστη βραδιά	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	ευχαριστώ (σε σένα)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	ήταν πολύ καλό	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	μια μουσική είναι ευχάριστη στο ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	η μουσική μου ήταν πολύ ευχάριστη	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	επίσης σε μένα	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	ο χορός είναι πολύ αστείος	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	να χορέψω μαζί σου	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	ήταν πολύ αστείο να χορέψω μαζί σου	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	εδώ είναι η κάρτα με το όνομά μου	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	αν το θέλεις	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	Ορίστε η κάρτα μου, αν θέλετε	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	πάνω του υπάρχει επίσης ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	σε αυτό υπάρχει επίσης μια διεύθυνση	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	υπάρχει μια διεύθυνση σε έναν ιστότοπο	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	μια διεύθυνση σε μια τοποθεσία με μαθήματα Espernato	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	ευχαριστώ	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Θα σου στείλω ένα e-mail	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	εντάξει!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	τα ξαναλέμε και καληνύχτα!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	τα λέμε!	see you!	grupo	alternativoj	prononco
level	aperas en ~	εμφανίζεται στο ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	ένας άμεσος αγγελιοφόρος	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	Το ~ εμφανίζεται στο instant messanger	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	είσαι αυτό το άτομο;	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	εκείνο το άτομο που είχε χορέψει μαζί μου	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	το βράδυ του Σαββάτου	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	είσαι εκείνο το άτομο που χόρεψε μαζί μου το Σάββατο το βράδυ;	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	Ναί εγώ είμαι	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Χαίρομαι που ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Χαίρομαι που ήρθατε στον ιστότοπο	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	είναι ευχάριστο για σένα; (σου αρέσει?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	ναι ναι	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	είναι πολύ όμορφο	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	φαίνεται ενδιαφέρον	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	είναι πολύ όμορφο και φαίνεται ενδιαφέρον	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	όχι ακόμα ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	δεν είναι εντελώς έτοιμο	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	δεν είναι ακόμα εντελώς έτοιμο	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	αλλά σύντομα θα γίνει	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	καταλαβαίνω (βλέπω)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	αλλά ήδη υπάρχουν πολλά εργαλεία βοήθειας	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	ένα λεξικό	a dictionary	grupo	alternativoj	prononco
level	superrigardo	μια επισκόπηση	an overview	grupo	alternativoj	prononco
level	ekzerco	έναν ειδικό φόρο κατανάλωσης	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	παραδείγματα λέξεων, επισκόπηση, αγγελιοφόρος και ασκήσεις	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	μια επισκόπηση της γραμματικής	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	ένας άμεσος αγγελιοφόρος και διάφορες ασκήσεις	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	είναι μια καλή αρχή	it is a good start	grupo	alternativoj	prononco
level	pardonon	συγγνώμη λυπάμαι	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Πρέπει να μιλήσω με ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	να μιλήσει με άλλο άτομο	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Λυπάμαι, πρέπει να μιλήσω με άλλο άτομο	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	βοηθός γλώσσας	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Είμαι ο γλωσσικός της βοηθός	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	και τώρα θέλει να μιλήσει για ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	να μιλήσουμε για μια άσκηση	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	σύντομα θα επιστρέψει	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Θα επανέλθω σύντομα	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	μετά από αρκετά λεπτά	after several minutes	grupo	alternativoj	prononco
level	finparolis	τελείωσε την κουβέντα	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	τώρα τελειώσαμε να μιλάμε για την άσκηση	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	εν τω μεταξύ, για λίγο	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Στο μεταξύ διάβασα για την Εσπεράντο	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Δεν είμαι σίγουρος	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	γνωρίζει αρκετά για το ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Δεν γνωρίζω αρκετά για τη γλώσσα, ακόμα	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	μια έξυπνη απάντηση	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Θα κοιτάξω στο site	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	και θα προσπαθήσω να μάθω λίγο	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	θέλεις να γίνεις βοηθός γλώσσας μου;	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	οικειοθελώς!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	Παρακαλώ!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	δεν αξίζει ένα ευχαριστώ, αλλά αξίζει ένα φιλί	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	το λέει στα Εσπεράντο	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	τι; Δεν καταλαβαίνω	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	μπορείτε να ψάξετε σε ένα λεξικό	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	Δυστυχώς	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Πρέπει να φύγω από το Διαδίκτυο τώρα	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Θα επιστρέψω το βράδυ	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Νομίζω ότι μέχρι εκείνη τη στιγμή θα είμαι στο χώρο	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	τέλειος!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	Λοιπόν, τα λέμε!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	τα λέμε αργότερα!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	το βράδυ, επίσης στο instant messenger	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Γεια σου και πάλι! (σχετικά με-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Γεια σου και πάλι!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Κοίταξα σχεδόν όλες τις σελίδες από τον ιστότοπο	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	αρκετά καλά! φοβερός!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Έχω αρκετές ερωτήσεις	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Εχεις χρόνο?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	ναι, το βράδυ είμαι ελεύθερος	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	λοιπόν, γράψτε τις ερωτήσεις σας	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Θα προσπαθήσω να απαντήσω	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Διάβασα ότι η Εσπεράντο έχει κουλτούρα	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	ωστόσο δεν καταλαβαίνω ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	όπου μπορώ να βρω μια τέτοια κουλτούρα	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	θα βρεις παντού, όπου είναι το ~	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	οποιοδήποτε μέρος όπου βρίσκονται άνθρωποι που μιλούν Εσπεράντο	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	αλλά κανένας δεν χρησιμοποιεί την Εσπεράντο	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	σωστά!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	αλλά άνθρωποι που μιλούν Εσπεράντο	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	συχνά ταξιδεύουν και συναντούν άλλους Εσπεραντιστές	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	κατά τη διάρκεια αυτών των συναντήσεων	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	χρησιμοποιούν τη γλώσσα στις περισσότερες διάφορες καταστάσεις	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	οπότε εκεί θα βρεις ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	θα βρεις τον πολιτισμό	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	θα βρει την κουλτούρα της Εσπεράντο	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	εντάξει, υπάρχει μουσική;	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	μουσική, λογοτεχνία, θέατρο	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	και τα λοιπά	etc	grupo	alternativoj	prononco
level	same kiel ~	ίδιο με ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	όπως υπάρχουν και για άλλες γλώσσες	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	η ποσότητα δεν είναι τόσο μεγάλη	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	τόσο μεγάλο όσο στις εθνικές γλώσσες	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	αλλά αυτό δεν είναι σημαντικό	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	τουλάχιστον όχι για μένα	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	αν θέλεις να ακούσεις ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	να ακούσω ένα τραγούδι στην Εσπεράντο	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	εδώ είναι το τραγούδι, &quot;Lisa paints pictures&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	ακούει το τραγούδι	listens to the song	grupo	alternativoj	prononco
level	ne malbone	δεν είναι κακό	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	και θα βρείτε πολλά βιβλία στην Εσπεράντο	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	κοιτάζει τα βιβλία	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	αρκετά πολλά	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	διαβάζεις πολύ στα Εσπεράντο;	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	ναι, μερικές φορές (από καιρό σε καιρό)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	αν ποτέ μάθεις τη γλώσσα	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Θα σου προτείνω μερικά καλά βιβλία	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	είναι περίπου ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	η άλλη μου ερώτηση είναι το όνομά μου	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	είπες νωρίτερα ότι ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	έχει σχέση με το ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	είπε ότι έχει σχέση με την Εσπεράντο	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	ω, ναι, για αυτό	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	ένας άντρας με το όνομα ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	κάποτε ζούσε ένας άντρας με το όνομα ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	ήταν πολύ ενεργός στο κίνημα της Εσπεράντο	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	όταν ήταν εντελώς καινούργιο	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	μετέφρασε το βιβλίο σε ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	και μετέφρασε πολλά βιβλία στην Εσπεράντο	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	και αυτό τον έκανε διάσημο;	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	ένα από τα πιο σημαντικά για την Εσπεράντο εκείνη την εποχή	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	και είχε μεγάλη επιρροή στο γλωσσικό ύφος	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	Όχι, σίγουρα ήταν σημαντικός και είχε επιρροή	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	όμως ξαφνικά εγκατέλειψε το κίνημα	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	φαντάζομαι ότι ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Φαντάζομαι ότι ήταν ένα μεγάλο σοκ για πολλούς	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	γιατί άφησε την Εσπεράντο;	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Πιστεύω ότι ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	ήταν δυσαρεστημένος με τους Εσπεραντιστές	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	είπε κάτι παρόμοιο με ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Εσπεράντο πρέπει να μάθουν οι ίδιοι οι Εσπεραντιστές!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	τι ήθελε να πει με το ~;	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	τι ήθελε να πει με αυτό;	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	είναι πιθανό ότι ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	οι άνθρωποι μιλούσαν εσπεράντο άσχημα	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	είναι πιθανό ότι οι άνθρωποι μίλησαν άσχημα	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	το έτος 1911, εγκατέλειψε την Εσπεράντο	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	αλλά νομίζω ότι ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	είναι υψηλότερο	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	σήμερα το γλωσσικό επίπεδο είναι υψηλότερο	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	το γλωσσικό επίπεδο των Εσπεραντιστών	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	αλλά νομίζω ότι σήμερα το επίπεδο είναι υψηλότερο	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	οπότε πρέπει να μάθω καλά τη γλώσσα	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	για να είσαι καλός άνθρωπος	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	και θα πρέπει να χρησιμοποιήσετε απλό στυλ	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	γιατί αυτό ήταν πολύ σημαντικό για εκείνον	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	αυτό με ευχαριστεί (μου αρέσει)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	στην Εσπεράντο, υπάρχει ακόμη και μια λέξη ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	υπάρχει ακόμη και μια λέξη &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	να εγκαταλείψει το κίνημα	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	μια λέξη «καμπεί», που σημαίνει εγκατάλειψη της κίνησης	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	αυτό είναι ενδιαφέρον!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	τώρα ξέρω μια λέξη στην Εσπεράντο	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	δεν θα ξεχάσει ποτέ	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	και μάλλον δεν θα το ξεχάσω ποτέ	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	σε ένα καφέ μετά από αρκετές εβδομάδες	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	κατάφερε να μάθει Εσπεράντο	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	και χρησιμοποιούν τη γλώσσα	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	να προσκαλέσω, μια πρόσκληση	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	ορίστε, δες, μια πρόσκληση για το IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	τι; Εε-γιο-τι;	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	ένας νέος, μια ομάδα νέων	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	Το IJK είναι ένα Διεθνές Συνέδριο Νέων	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Σκοπεύω να το πάω	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	θες να πας και εσύ;	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	Λοιπόν, το &quot;συνέδριο&quot; δεν ακούγεται πολύ ενδιαφέρον	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	αλλά είναι (ενδιαφέρον)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	μην σκεφτείτε κάτι βαρετό υποτονικό συνέδριο	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	πρόκειται απλώς για ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	είναι απλώς να συναντάς νέους ανθρώπους	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	μια συνάντηση με νέους από πολλές χώρες	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 με 400 άτομα θα είναι εκεί	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	πιθανότατα θα είναι 300 με 400 άτομα εκεί	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
