C.vi-vn content.tsv
Level	Esperanto	vi-vn	en-us	Grupo	Alternativoj	Pronoco
level	-ul-	<hậu tố>một người có đặc điểm nào đó	<suffix> a person of some trait	grupo	alternativoj	prononco
level	-in-	<hậu tố>nữ giới	<suffix> female	grupo	alternativoj	prononco
level	-ant-	<hậu tố>hiện tại tích cực, đang ~ing, ai đó đang ~ing	<suffix> active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	<hậu tố>quá khứ tích cực, đã ~ing	<suffix> active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	<hậu tố>tương lai năng động, sẽ ~ing	<suffix> active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	Và	and	grupo	alternativoj	prononco
level	aŭ	hoặc	or	grupo	alternativoj	prononco
level	alta	cao cao	high, tall	grupo	alternativoj	prononco
level	jes	Đúng	yes	grupo	alternativoj	prononco
level	ne	không, không	not, no	grupo	alternativoj	prononco
level	tiom	bấy nhiêu, bấy nhiêu, số tiền đó	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	Tốt	good	grupo	alternativoj	prononco
level	kiom	bao nhiêu	how much, how many	grupo	alternativoj	prononco
level	ofte	thường xuyên, thường xuyên	often, frequently	grupo	alternativoj	prononco
level	iom	một chút, đúng hơn, một số, phần nào	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	mới, tiểu thuyết	new, novel	grupo	alternativoj	prononco
level	-at-	<hậu tố>phân từ hiện tại thụ động	<suffix> passive present participle	grupo	alternativoj	prononco
level	-it-	<hậu tố>quá khứ phân từ thụ động	<suffix> passive past participle	grupo	alternativoj	prononco
level	-ot-	<hậu tố>phân từ tương lai thụ động	<suffix> passive future participle	grupo	alternativoj	prononco
level	tre	rất, khá, rất nhiều	very, quite, very much	grupo	alternativoj	prononco
level	tro	quá, quá mức, quá nhiều	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	tuy nhiên, tuy nhiên, nhưng, tuy nhiên	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Ồ! ồ!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	cái đó ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	bởi vì ~	because ~	grupo	alternativoj	prononco
level	ĉu	liệu ~	whether ~	grupo	alternativoj	prononco
level	-ej-	<hậu tố>địa điểm	<suffix> place	grupo	alternativoj	prononco
level	-ec-	<hậu tố>tên trừu tượng của chất lượng	<suffix> abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	cả hai ~	both ~	grupo	alternativoj	prononco
level	tuj	ngay lập tức, ngay lập tức, ngay lập tức	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	như thể ~	as if ~	grupo	alternativoj	prononco
level	kiam	khi	when	grupo	alternativoj	prononco
level	silenti	im lặng, im lặng	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	không bao giờ, không bao giờ, không bao giờ	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	do đó để	therefore, so	grupo	alternativoj	prononco
level	kial	tại sao, để làm gì	why, what for	grupo	alternativoj	prononco
level	kvankam	mặc dù ~, trong khi, mặc dù	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	<giới từ>tại ~	<preposition> at ~	grupo	alternativoj	prononco
level	pli	hơn	more	grupo	alternativoj	prononco
level	plej	hầu hết	most	grupo	alternativoj	prononco
level	diri	để nói, để kể	to say, to tell	grupo	alternativoj	prononco
level	ol ~	hơn ~	than ~	grupo	alternativoj	prononco
level	paroli	nói chuyện, nói chuyện	to speak, to talk	grupo	alternativoj	prononco
level	kia	cái gì, cái gì	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	như thế, kiểu đó, kiểu như vậy	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	hầu như không, hầu như không, hầu như không	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	để gửi	to send	grupo	alternativoj	prononco
level	ĵus	chỉ (một lúc trước), ngay bây giờ	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	<hậu tố>mệnh lệnh	<suffix> imperative	grupo	alternativoj	prononco
level	ekster ~	bên ngoài ~	outside ~	grupo	alternativoj	prononco
level	ge-	<tiếp đầu ngữ>cả hai giới tính, cả hai giới tính	<prefix> both sex, both gender	grupo	alternativoj	prononco
level	-us	<hậu tố>sẽ, nên, giả định	<suffix> would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	sớm	soon	grupo	alternativoj	prononco
level	almenaŭ	ít nhất, nếu không có gì khác	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	<hậu tố>thùng đựng hàng; quốc gia	<suffix> container; country	grupo	alternativoj	prononco
level	lerni	học	to learn	grupo	alternativoj	prononco
level	ek-	<tiếp đầu ngữ>bắt đầu; bắt đầu đột ngột	<prefix> beginning; sudden start	grupo	alternativoj	prononco
level	se	nếu, với điều kiện là	if, provided that	grupo	alternativoj	prononco
level	eĉ	thậm chí	even	grupo	alternativoj	prononco
level	amo	một tình yêu	a love	grupo	alternativoj	prononco
level	jam	đã, sắp rồi, tính đến bây giờ	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Đây! Ồ! Hãy chứng kiến	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	kết thúc, kết thúc, chấm dứt	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	vậy, vậy thì, do đó	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~bất cứ lúc nào, (cái gì)bất cứ lúc nào, -bất cứ lúc nào	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	dễ dàng, dễ dàng	easy, facile	grupo	alternativoj	prononco
level	re-	<tiếp đầu ngữ>nốt Rê-	<prefix> re-	grupo	alternativoj	prononco
level	granda	lớn, lớn, lớn	big, great, large	grupo	alternativoj	prononco
level	-ist-	<hậu tố>chuyên nghiệp	<suffix> professional	grupo	alternativoj	prononco
level	pro ~	<giới từ>vì ~, vì ~	<preposition> because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	<hậu tố>người đứng đầu, ông chủ, người đứng đầu, người đứng đầu	<suffix> leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	Gì	what	grupo	alternativoj	prononco
level	manĝi	ăn	to eat	grupo	alternativoj	prononco
level	nenio	không có gì, không có gì cả	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	trẻ	young	grupo	alternativoj	prononco
level	ĉio	mọi thứ	everything	grupo	alternativoj	prononco
level	riĉa	giàu có, giàu có, khá giả	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	cái đó, cái đó	that thing, that	grupo	alternativoj	prononco
level	konstrui	xây dựng, xây dựng	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	<tiếp đầu ngữ>người đứng đầu, lãnh đạo, chính	<prefix> chief, leading, main	grupo	alternativoj	prononco
level	sen ~	<giới từ>không có ~	<preposition> without ~	grupo	alternativoj	prononco
level	kun ~	<giới từ>với ~ (cùng nhau)	<preposition> with ~ (together)	grupo	alternativoj	prononco
level	krom ~	<giới từ>ngoại trừ ~, ngoài ra ~	<preposition> except ~, besides ~	grupo	alternativoj	prononco
level	amiko	một người bạn	a friend	grupo	alternativoj	prononco
level	kies	của ai, của cái nào, của cái nào	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	<giới từ>bởi ~ (một phương thức), với ~ (một công cụ)	<preposition> by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	chống lại ~	against ~	grupo	alternativoj	prononco
level	el ~	ra khỏi ~, từ ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	Hôm nay	today	grupo	alternativoj	prononco
level	hieraŭ	Hôm qua	yesterday	grupo	alternativoj	prononco
level	nur	chỉ, chỉ, riêng	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	giúp đỡ, giúp đỡ, hỗ trợ	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	<adv>xa	<adverb> far, away	grupo	alternativoj	prononco
level	nek	cũng không	nor, neither	grupo	alternativoj	prononco
level	malamo	không thích	a hate	grupo	alternativoj	prononco
level	preskaŭ	gần như, gần như	almost, nearly	grupo	alternativoj	prononco
level	tra ~	xuyên qua ~	through ~	grupo	alternativoj	prononco
level	super	qua trên	over, above	grupo	alternativoj	prononco
level	trans ~	qua ~, qua ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	à, vậy thì, bây giờ	well, well then, now	grupo	alternativoj	prononco
level	pri ~	về ~	about ~	grupo	alternativoj	prononco
level	por ~	cho ~, để cho ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	Ngày mai	tomorrow	grupo	alternativoj	prononco
level	nun	bây giờ, hiện tại	now, at present	grupo	alternativoj	prononco
level	laŭ ~	theo ~, dọc theo ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	mỗi, mọi, mọi người, tất cả	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	ai, cái nào, cái nào	who, which, which one	grupo	alternativoj	prononco
level	tiu	người đó, người đó ~, người đó, đằng kia	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	ai đó, ai đó, một số	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	không ai, không ai, cũng không	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	đến ~	to ~	grupo	alternativoj	prononco
level	-ebl-	<hậu tố>~có thể	<suffix> ~able	grupo	alternativoj	prononco
level	esperi	hy vọng	to hope	grupo	alternativoj	prononco
level	unu	một	one	grupo	alternativoj	prononco
level	du	hai	two	grupo	alternativoj	prononco
level	tri	ba	three	grupo	alternativoj	prononco
level	kvar	bốn	four	grupo	alternativoj	prononco
level	kvin	năm	five	grupo	alternativoj	prononco
level	ses	sáu	six	grupo	alternativoj	prononco
level	sep	bảy	seven	grupo	alternativoj	prononco
level	ok	tám	eight	grupo	alternativoj	prononco
level	naŭ	chín	nine	grupo	alternativoj	prononco
level	dek	mười	ten	grupo	alternativoj	prononco
level	cent	một trăm	a hundred	grupo	alternativoj	prononco
level	mil	một nghìn	a thousand	grupo	alternativoj	prononco
level	-obl-	<hậu tố>cho bội số, -oble, -fold	<suffix> for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	<hậu tố>~th, phân số	<suffix> ~th, fraction	grupo	alternativoj	prononco
level	ama	của tình yêu	of love	grupo	alternativoj	prononco
level	anstataŭ ~	thay vì ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	<hậu tố>trở nên	<suffix> become	grupo	alternativoj	prononco
level	voli	muốn, muốn, sẵn lòng	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	<hậu tố>khiến trở thành	<suffix> cause to become	grupo	alternativoj	prononco
level	sekvi	đi theo	to follow	grupo	alternativoj	prononco
level	ĝoje	vui vẻ	gladly	grupo	alternativoj	prononco
level	legi	đọc	to read	grupo	alternativoj	prononco
level	silenta	im lặng	silent	grupo	alternativoj	prononco
level	la	các	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	<hậu tố>công cụ, phương pháp	<suffix> tool, method	grupo	alternativoj	prononco
level	trinki	uống (không cồn)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	<hậu tố>nhỏ, nhỏ	<suffix> small, little	grupo	alternativoj	prononco
level	-eg-	<hậu tố>lớn, lớn	<suffix> big, large	grupo	alternativoj	prononco
level	inter ~	<giới từ>giữa ~	<preposition> between ~	grupo	alternativoj	prononco
level	-um-	<hậu tố>hành vi liên quan	<suffix> related behavior	grupo	alternativoj	prononco
level	-ar-	<hậu tố>tập hợp, nhóm	<suffix> set, group	grupo	alternativoj	prononco
level	-an-	<hậu tố>thành viên của một nhóm	<suffix> member of a group	grupo	alternativoj	prononco
level	danki	để cảm ơn	to thank	grupo	alternativoj	prononco
level	-ind-	<hậu tố>đáng giá, xứng đáng	<suffix> worthwhile, worthy	grupo	alternativoj	prononco
level	plu	thậm chí nhiều hơn nữa, hơn nữa, và vân vân, nhiều hơn nữa	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	như thế nào, như thế nào, như thế nào, chẳng hạn như	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	như vậy, theo cách đó, như vậy	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	<giới từ>trong ~	<preposition> in ~	grupo	alternativoj	prononco
level	apud ~	<giới từ>bên cạnh ~, bên cạnh ~	<preposition> next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	<giới từ>dưới, bên dưới ~	<preposition> under, beneath ~	grupo	alternativoj	prononco
level	sur ~	<giới từ>trên ~	<preposition> on ~	grupo	alternativoj	prononco
level	je ~	<giới từ>chuẩn bị không xác định., tại, trong, bởi, trên	<preposition> indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	<adv>vẫn chưa	<adverb> still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	<giới từ>xung quanh ~	<preposition> around ~	grupo	alternativoj	prononco
level	sed	Nhưng	but	grupo	alternativoj	prononco
level	ie	một vài nơi	somewhere	grupo	alternativoj	prononco
level	kie	ở đâu, ở nơi nào	where, at what place	grupo	alternativoj	prononco
level	silente	thầm lặng	silently	grupo	alternativoj	prononco
level	ĉie	mọi nơi, về mọi thứ	everywhere, all about	grupo	alternativoj	prononco
level	nenie	không ở đâu, không có trường hợp nào, không ở đâu cả	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	kia, đằng kia, đằng kia	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	cái này ~	this ~	grupo	alternativoj	prononco
level	kanti	hát	to sing	grupo	alternativoj	prononco
level	morti	chết, qua đời	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	<giới từ>trong khi ~, trong khi ~	<preposition> during ~, while ~	grupo	alternativoj	prononco
level	nacio	một quốc gia	a nation	grupo	alternativoj	prononco
level	koni	biết (một người), làm quen với	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	biết (một sự thật, kiến thức), biết làm thế nào	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	luôn luôn, bao giờ hết	always, ever	grupo	alternativoj	prononco
level	iam	vào một lúc nào đó, một lần	at some time, once	grupo	alternativoj	prononco
level	tiam	sau đó	then	grupo	alternativoj	prononco
level	-em-	<hậu tố>khuynh hướng	<suffix> tendancy	grupo	alternativoj	prononco
level	ia	một số loại	some kind of	grupo	alternativoj	prononco
level	sukcesi	để thành công	to succeed	grupo	alternativoj	prononco
level	ĉia	đủ loại, đủ loại	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	không, không phải bất kỳ loại nào, không phải bất kỳ loại nào	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	<hậu tố>con cháu	<suffix> offspring	grupo	alternativoj	prononco
level	ĉambro	một căn phòng, một căn phòng	a room, a chamber	grupo	alternativoj	prononco
level	patro	một người cha	a father	grupo	alternativoj	prononco
level	porko	một con lợn, con lợn	a pig, swine	grupo	alternativoj	prononco
level	bo-	<tiếp đầu ngữ>-theo vợ chồng, bằng hôn nhân	<prefix> -in-law, by marriage	grupo	alternativoj	prononco
level	ja	thực vậy	indeed	grupo	alternativoj	prononco
level	-ism-	<hậu tố>- chủ nghĩa	<suffix> -ism	grupo	alternativoj	prononco
level	io	thứ gì đó	something	grupo	alternativoj	prononco
level	veturi	lái (một phương tiện)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	con gà trống, con gà mái, con gà, con gà	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	miễn phí	free	grupo	alternativoj	prononco
level	lasta	cuối cùng	last	grupo	alternativoj	prononco
level	ĝoji	vui mừng, vui mừng, tận hưởng	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	nắm lấy, nắm giữ	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	một con bò, một con bò, con vật trâu bò	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	cái khác, cái khác, cái khác	another, other, else	grupo	alternativoj	prononco
level	varma	nóng, ấm	hot, warm	grupo	alternativoj	prononco
level	loĝi	cư trú, ở, ở, ở	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	tin tưởng	to believe	grupo	alternativoj	prononco
level	glacio	một tảng băng	an ice	grupo	alternativoj	prononco
level	loko	một địa điểm, một địa điểm	a place, a location	grupo	alternativoj	prononco
level	ovo	một quả trứng	an egg	grupo	alternativoj	prononco
level	multa	Rất nhiều rất nhiều	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	một sự sở hữu	a possession	grupo	alternativoj	prononco
level	ŝafo	một con cừu	a sheep	grupo	alternativoj	prononco
level	sono	một âm thanh	a sound	grupo	alternativoj	prononco
level	fiŝo	một con cá	a fish	grupo	alternativoj	prononco
level	bela	đẹp, đẹp trai, xinh xắn	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	trả lời, đáp lại, trả lời	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	một dịp, một thời điểm	an occasion, a time	grupo	alternativoj	prononco
level	demandi	hỏi	to ask	grupo	alternativoj	prononco
level	forta	mạnh	strong	grupo	alternativoj	prononco
level	preter ~	vượt quá ~, quá khứ ~, quá khứ thẳng	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	sự im lặng	a silence	grupo	alternativoj	prononco
level	infano	một đứa trẻ, một đứa trẻ sơ sinh	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	hạnh phúc, may mắn, may mắn	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	bắt, bắt, vật lộn	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	mong muốn, ước muốn	to desire, to wish	grupo	alternativoj	prononco
level	longa	dài	long	grupo	alternativoj	prononco
level	mondo	một thế giới	a world	grupo	alternativoj	prononco
level	okazi	xảy ra, xảy ra, xảy ra	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	cánh đồng, một cánh đồng	field, a field	grupo	alternativoj	prononco
level	filo	một đứa con trai	a son	grupo	alternativoj	prononco
level	montri	chỉ ra, chỉ ra, chỉ ra	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	một trái tim	a heart	grupo	alternativoj	prononco
level	knabo	một cậu bé	a boy	grupo	alternativoj	prononco
level	meti	đặt, để, đặt xuống	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	một người chồng	a husband	grupo	alternativoj	prononco
level	pako	bưu kiện	package	grupo	alternativoj	prononco
level	rapida	nhanh, nhanh, nhanh chóng	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	dường như, có vẻ là	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	lời chào, lời chào, lời chào	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	viết	to write	grupo	alternativoj	prononco
level	peti	yêu cầu, yêu cầu, yêu cầu, cầu xin	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	bay	to fly	grupo	alternativoj	prononco
level	kapo	một cái đầu, một chiếc áo choàng	a head, a cape	grupo	alternativoj	prononco
level	krii	hét lên, kêu lên, kêu lên, hét lên	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	màu đỏ	red	grupo	alternativoj	prononco
level	sinjoro	một quý ông, một quý ông	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	để giữ, để bám vào	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	một thời gian, một thời gian	time, a time	grupo	alternativoj	prononco
level	tuta	toàn bộ, toàn bộ, toàn bộ, trọn vẹn, tổng thể	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	một người đàn ông	a man	grupo	alternativoj	prononco
level	vojo	một con đường, một con đường, một lộ trình	a way, a path, a route	grupo	alternativoj	prononco
level	movi	để di chuyển	to move	grupo	alternativoj	prononco
level	militi	phá vỡ chiến tranh, chiến đấu, tiến hành chiến tranh	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	một vài, một số	a few, several	grupo	alternativoj	prononco
level	dekstra	phải, phải (bên, hướng), tay phải	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	đóng lại, đóng lại	to close, to shut	grupo	alternativoj	prononco
level	okupi	chiếm giữ, lấy	to occupy, to take	grupo	alternativoj	prononco
level	levi	đòn bẩy, nâng lên, nâng lên	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	đánh, đánh, đánh, đánh, đánh	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	cần, muốn, đòi hỏi	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	hiểu, nhận ra	to understand, to realise	grupo	alternativoj	prononco
level	iri	đi	to go	grupo	alternativoj	prononco
level	veni	đến	to come	grupo	alternativoj	prononco
level	porti	mang, mặc	to carry, to wear	grupo	alternativoj	prononco
level	kovri	che đậy	to cover	grupo	alternativoj	prononco
level	hela	sáng, rõ ràng và nhẹ nhàng	bright, clear and light	grupo	alternativoj	prononco
level	sana	khỏe mạnh	healthy	grupo	alternativoj	prononco
level	aperi	xuất hiện, xuất hiện	to appear, to emerge	grupo	alternativoj	prononco
level	libro	một quyển sách	a book	grupo	alternativoj	prononco
level	atendi	chờ đợi, chờ đợi, chờ đợi	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	một bàn tay	a hand	grupo	alternativoj	prononco
level	pentri	vẽ	to paint	grupo	alternativoj	prononco
level	instrui	để dạy, để hướng dẫn	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	ngồi	to sit	grupo	alternativoj	prononco
level	stari	đứng	to stand	grupo	alternativoj	prononco
level	afero	một vật, một vật, một vụ án, một mối quan tâm, một vấn đề	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	đầy đủ, đầy đủ	full, complete	grupo	alternativoj	prononco
level	klara	thông thoáng	clear	grupo	alternativoj	prononco
level	komenci	bắt đầu, bắt đầu	to begin, to commence	grupo	alternativoj	prononco
level	dormi	đi ngủ, đi ngủ	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	một phần, một phần	a part, a share	grupo	alternativoj	prononco
level	mono	tiền bạc	money	grupo	alternativoj	prononco
level	ricevi	Nhận	to receive	grupo	alternativoj	prononco
level	ami	yêu	to love	grupo	alternativoj	prononco
level	devi	phải, phải, nên, nên	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	có thể, có thể	be able to, can	grupo	alternativoj	prononco
level	labori	đi làm, lao động	to work, to labor	grupo	alternativoj	prononco
level	dio	một vị thân	a god	grupo	alternativoj	prononco
level	urbo	một thành phố, một thị trấn	a city, a town	grupo	alternativoj	prononco
level	ofta	thường xuyên, thường xuyên	freqent, often	grupo	alternativoj	prononco
level	soni	phát ra âm thanh, phát ra âm thanh	to sound, to make sound	grupo	alternativoj	prononco
level	tero	đất, đất, đất	earth, land, soil	grupo	alternativoj	prononco
level	vivi	để sống, để sống	to live, to be alive	grupo	alternativoj	prononco
level	resti	ở lại, ở lại	to stay, to remain	grupo	alternativoj	prononco
level	ridi	cười	to laugh	grupo	alternativoj	prononco
level	homo	một con người, một người đàn ông	a human, a man	grupo	alternativoj	prononco
level	akvo	Nước	water	grupo	alternativoj	prononco
level	vorto	một từ	a word	grupo	alternativoj	prononco
level	certa	chắc chắn, chắc chắn	certain, sure	grupo	alternativoj	prononco
level	lando	một vùng đất, một đất nước	a land, a country	grupo	alternativoj	prononco
level	sama	như nhau	same	grupo	alternativoj	prononco
level	ĵeti	ném	to throw	grupo	alternativoj	prononco
level	stelo	một ngôi sao	a star	grupo	alternativoj	prononco
level	domo	một ngôi nhà, một ngôi nhà	a house, a home	grupo	alternativoj	prononco
level	nomo	một cái tên, một tên gọi	a name, an appellation	grupo	alternativoj	prononco
level	vidi	nhìn	to see	grupo	alternativoj	prononco
level	mola	mềm mại	soft	grupo	alternativoj	prononco
level	horo	một giờ, một giờ, thời gian	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	một hình thức, một hình dạng	a form, a shape	grupo	alternativoj	prononco
level	tago	một ngày	a day	grupo	alternativoj	prononco
level	fumo	khói	a smoke	grupo	alternativoj	prononco
level	ĉevalo	một con ngựa	a horse	grupo	alternativoj	prononco
level	jaro	một năm	a year	grupo	alternativoj	prononco
level	vojaĝi	đi du lịch	to travel	grupo	alternativoj	prononco
level	celo	mục đích, mục tiêu, mục đích, mục tiêu	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	sinh ra, sinh ra, sinh ra	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	bỏ lỡ, thiếu, thiếu	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	một con chim	a bird	grupo	alternativoj	prononco
level	halti	dừng lại, dừng lại, dừng lại	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	Anh hay em trai	a brother	grupo	alternativoj	prononco
level	monto	một ngọn núi	a mountain	grupo	alternativoj	prononco
level	pensi	Để nghĩ	to think	grupo	alternativoj	prononco
level	permesi	cho phép, cho phép	to permit, to allow	grupo	alternativoj	prononco
level	kosti	tiêu tốn	to cost	grupo	alternativoj	prononco
level	lito	một cái giường, một cái đi văng	a bed, a couch	grupo	alternativoj	prononco
level	perdi	thua	to lose	grupo	alternativoj	prononco
level	miri	làm ngạc nhiên, làm ngạc nhiên, làm ngạc nhiên	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	một người	a person	grupo	alternativoj	prononco
