B.no content.tsv
Level	Esperanto	no	en-us	Grupo	Alternativoj	Pronoco
level	mi revenos vespere	Jeg kommer tilbake om kvelden	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Jeg tror at jeg vil være på stedet innen den tiden	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	perfekt!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	vel, vi sees da!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	ser deg senere!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	om kvelden, også på instant messenger	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Hallo igjen! (re-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Hallo igjen!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Jeg så nesten alle sidene fra nettstedet	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	ganske bra! Rått!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Jeg har flere spørsmål	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Har du tid?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	ja, jeg har fri om kvelden	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	så skriv spørsmålene dine	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Jeg skal prøve å svare	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Jeg leste at esperanto har en kultur	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	men jeg forstår ikke ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	hvor jeg kan finne en slik kultur	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	du finner overalt hvor ~ er	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	hvor som helst hvor det er folk som snakker esperanto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	men ingen bruker esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	Ikke sant!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	men folk som snakker esperanto	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	reiser ofte og møter andre esperantister	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	under disse møtene	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	de bruker språket i de fleste forskjellige situasjoner	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	så der finner du ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	du finner kulturen	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	vil finne kulturen til esperanto	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	ok, finnes musikk?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	musikk, litteratur, teater	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	etc	etc	grupo	alternativoj	prononco
level	same kiel ~	samme som ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	samme som det er for andre språk	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	mengden er ikke så stor	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	like stor som på nasjonale språk	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	men det er ikke viktig	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	i hvert fall ikke for meg	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	hvis du vil lytte ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	å lytte til en sang på esperanto	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	her er sangen &quot;Lisa maler bilder&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	hører på sangen	listens to the song	grupo	alternativoj	prononco
level	ne malbone	ikke verst	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	og du vil finne mange bøker på esperanto	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	ser på bøkene	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	nok mange	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	leser du mye på esperanto?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	ja, noen ganger (fra tid til annen)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	hvis du noen gang lærer språket	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Jeg vil anbefale deg noen gode bøker	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	handler om ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	det andre spørsmålet mitt er om navnet mitt	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	du sa tidligere at ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	har en relasjon til ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	sa at det har en relasjon til esperanto	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	å ja, om det	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	en mann med navnet ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	en gang bodde en mann med navnet ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	han var svært aktiv i esperantobevegelsen	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	da den var helt ny	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	oversatte boken til ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	og oversatte mange bøker til esperanto	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	og det gjorde ham berømt?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	en av de viktigste for esperanto på den tiden	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	og han hadde mye innflytelse på språkstilen	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	nei, visst var han viktig og hadde innflytelse	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	imidlertid forlot han plutselig bevegelsen	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Jeg forestiller meg at ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Jeg ser for meg at det var et stort sjokk for mange	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	hvorfor forlot han esperanto?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Jeg tror at ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	han var misfornøyd med esperantistene	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	han sa noe som ligner på ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto må læres av esperantistene selv!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	hva mente han å si med ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	hva mente han å si med det?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	det er sannsynlig at ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	folk snakket dårlig esperanto	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	det er sannsynlig at folk snakket dårlig	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	i år 1911 forlot han Esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	men jeg tror at ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	er høyere	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	i dag er språknivået høyere	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	språknivået til esperantistene	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	men jeg tror at i dag er nivået høyere	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	så jeg må lære språket godt	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	for å være et godt menneske	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	og du bør bruke enkel stil	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	fordi det var veldig viktig for ham	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	det gleder meg (jeg liker det)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	på esperanto er det til og med et ord ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	det er til og med et ord &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	å forlate bevegelsen	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	et ord &quot;kabei&quot;, som betyr å forlate bevegelsen	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	det er interessant!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	nå kan jeg ett ord på esperanto	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	vil aldri glemme	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	og jeg kommer nok aldri til å glemme det	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	på kafé etter flere uker	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	han klarte å lære seg esperanto	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	og de bruker språket	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	å invitere, en invitasjon	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	her, se, en invitasjon til IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	hva? Ee-jo-hva?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	en ung person, en gruppe unge mennesker	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK er en internasjonal ungdomskongress	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Jeg planlegger å gå for det	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	vil du også gå?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	vel, &quot;kongress&quot; høres ikke veldig interessant ut	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	men det er (interessant)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	ikke tenk på noe kjedelig treg kongress	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	det handler bare om ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	det handler bare om å møte unge mennesker	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	et møte med ungdom fra mange land	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 til 400 mennesker vil være der	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	det vil trolig være 300 til 400 mennesker der	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	nesten alle	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	og nesten alle vil snakke esperanto	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	snakker ikke godt	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, men jeg snakker ikke godt esperanto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	det spiller ingen rolle	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	det er mulig å delta i ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	å delta på esperanto-kurs der	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	som oftest	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	vanligvis er det to nivåer	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	folk som allerede hadde lært språket	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	en for nybegynnere	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	og den andre for de som allerede har lært språket	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jess, hva?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	du sa &quot;vanligvis&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	Åh, IJK skjer hvert år	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	hver gang i andre land	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	av denne grunn er hver IJK forskjellig	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	men det finnes også programmer	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programmer som kommer tilbake ofte	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	men det er også programmer som kommer tilbake ofte	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	for eksempel	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	for eksempel er det nesten alltid mulig å spille sport og kort	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	å snakke med venner hele natten	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	å synge rundt ild og å danse	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	å delta på konserter og så videre	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	vel, jeg kan gjøre det hjemme også	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	rett, men	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	men det viktige under IJK er ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	kommer fra mange forskjellige land	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	er at deltakerne kommer fra ulike land	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	på grunn av den blandingen av forskjellige mennesker	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	det er en god atmosfære som jeg liker veldig godt	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	greit, høres ut som interesse	all right, sounds like interest	grupo	alternativoj	prononco
