A.he content.tsv
Level	Esperanto	he	en-us	Grupo	Alternativoj	Pronoco
level	kiu estas ŝi?	מי זאת? מי היא	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	היא חברה שלך	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	האם חבר שלך ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	כותב עכשיו בחדר	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	האם החבר שלך הוא אבא ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	עובד בבית מלון	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	מה זה על השולחן?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	על השולחן בחדר שלנו	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	האם ספר הלימוד באספרנטו הוא ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	נמצא על השולחן שלך	is on your table	grupo	alternativoj	prononco
level	havas amikinon	יש חבר	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	שמה הוא ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	צעיר ויפה	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	צעיר ויפה	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	חברים צעירים ויפים	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	הם חברים גברים ונשים	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	בית של המורה שלה	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	הגיע לבית	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	הבית של ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	נא לבוא ב	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	שלום מה אתה עושה?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	מה אתה עושה? מה אתה עושה?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	אבל עכשיו אני רוצה ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	אני רוצה לדבר	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	עם שלושה חברים וחברות	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	דיבר איתך	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	רוצה לדבר איתך	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	האם יש לך חברים גברים ונשים	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	יש לו ספר	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	יש ספר טוב	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	כן יש לי	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	הם אוהבים את זה	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	היא קוראת ספר	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	אוהב לקרוא ספרים	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	רק ספר טוב	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	הרבה ספרים טובים	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	לקרוא רק ספרים טובים	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	אוהב לקרוא ספרים טובים	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	אתה רוצה לקרוא?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	הצעיר שתה קפה	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	רוצה לשתות מים	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	אבא ואמא; הורים	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	מטרידה ואחות, אחים	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	ההורים והאחים שלך	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	נמצא בבית שלך	is in your home	grupo	alternativoj	prononco
level	jen la kafo	הנה הקפה	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	עדיין לא שתה	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	עדיין חם	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	בישל את זה אתמול	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	עכשיו בישלתי	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	תודה. אז הוא אמר.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	יכול לשתות ולאכול	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	שתה קפה קר	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	עדיין קפה חם	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	שותה גם קפה קר	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	יכול גם לשתות קפה קר	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	מביטה בעין שלה	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	העין הכי יפה	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	העיניים היפות	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	הסתכלו בעיניים היפות	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	העיניים היפות שלה	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	רואה ומבין	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	אני רואה את זה ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	שהוא אוהב אותה	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	היא מרגישה שהוא אוהב אותה	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	שואל אם זה היה גדול	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	לגבי שאלה קלה	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	אמר על כסף חדש	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	עיניים יפות מאוד	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	נראה האח הגדול	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	אחות קטנה שכחה את זה	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	אשם (אובייקטיבי)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	אל תשכח את הסוף המאשימה	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	את מי אתה רואה איזה מהם אתה רואה	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	אני רואה חבר	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	יש לו חברים טובים	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	הם עובדים על הבית הישן	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	עובד, עבד, יעבוד	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	רואה, שאני אוכל	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	אמר, שהוא ילך	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	מכוער ורע	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	מה היא אמרה?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	למה אתה מחכה?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	נכנס לחדר	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	תוכן הוא מאוד קשה	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	הגיע לפגישה	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	ברוכים הבאים למפגש	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	איש זקן נתן טיפ	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	הגיע והתקבל בברכה	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	הם שונאים אבל משתפים פעולה	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	הלך למלון	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	יש ספרי לימוד קלים	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	איך היה אמא שלך	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	הבית הישן שלך	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	אילו ספרים קראת?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	היו טובים?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	עשה מה אתמול	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	בחדר הקטן	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	דיבר הרבה זמן	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	מול בית הספר, לפני בית הספר	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	דיבר לפני בית הספר	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	מאוחר יותר דיבר על הספר	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	הלך בשמחה לבית הספר	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	דרך הרחוב	through the street	grupo	alternativoj	prononco
level	iris tra la strato	עבר ברחוב	went through the street	grupo	alternativoj	prononco
level	estis varma tago	היה יום חם	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	הם ראו בית קפה'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	ראיתי עוגיות אדומות	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	ראיתי בו עוגיות	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	ראיתי בית קפה' ובו עוגיות	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	תיכנסו לאכול!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	בוא ניכנס ונאכל	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	יש מספיק כסף	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	יש לך מספיק כסף?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	האם אתה מבין?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	כמובן!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	זה לא מספיק	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	מאה דולר זה מספיק	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	דולר, דולרים, דולרים (מטרה רבים)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	יש מאה דולר	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	כמובן שיש לי	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	הו! אתה עשיר!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	מים, מלצרית	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	מלצר מביא תפריט	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	הביא לנו את זה, הביא את זה	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	מלצר הביא הרבה עוגיות	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	הם אכלו קצת (קצת)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	לאחר האכילה (ארוחה)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	חדש, שוב	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	המלצר הגיע שוב	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	במקום כלשהו	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	חיפש במקום כלשהו	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	חיפשו במקום אחר	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	פניו היו מאושרים	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	היא היתה עצובה	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	בסוף ולבסוף סוף סוף	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	הקול החזק שלך	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	בקול חלש	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	אין כסף	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	מה קרה שם	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	תאונה קרתה מאוחר יותר	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	אתה יודע מתי זה קרה	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	יודע על העניין	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	עדיין נשאר דבר אחד	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	אתה או היא, כל אדם	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	כמו זמר, כחותם	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	שרה כמו זמר מקצועי	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	המקום שבו היא גרה	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	איך אתה יודע על המכונית	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	ובכן, תראה את המכונית המהירה	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	מיץ ללא סוכר	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	יש לו רכב מהיר	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	חזק מדי	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	הוא פתח חזק מדי	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	נסע (נסע) מהר מדי	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	אכל עם כפית	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	אנחנו מפקפקים מאוד	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	מכתב אמיתי ממנו	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	מכתב אהבה עם חמש תמונות	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	חזרו, האנשים שחזרו	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	גם שש מכתבים חזרו	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	רצה לראות את התמונה	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	חזר מבית הספר	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	מתי האחות תחזור?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	רצה לקרוא שוב	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	עשה (עשה), נעשה	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	הפך במהירות לאדום	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	בחדר, לתוך חדר	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	עמד וישב	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	שם עמד מול התמונה	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	יש לי את זה	I have that	grupo	alternativoj	prononco
