C.de content.tsv
Level	Esperanto	de	en-us	Grupo	Alternativoj	Pronoco
level	-ant-	(Suffix) aktive Gegenwart, ist ~ing, jemand, der ~ing ist	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(Suffix) aktive Vergangenheit, war ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(Suffix) aktive Zukunft, wird ~ing sein	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	Und	and	grupo	alternativoj	prononco
level	aŭ	oder	or	grupo	alternativoj	prononco
level	alta	hoch, groß	high, tall	grupo	alternativoj	prononco
level	jes	Ja	yes	grupo	alternativoj	prononco
level	ne	nicht nein	not, no	grupo	alternativoj	prononco
level	tiom	so viel, so viel, so viel	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	Gut	good	grupo	alternativoj	prononco
level	kiom	wie viel, wie viele	how much, how many	grupo	alternativoj	prononco
level	ofte	oft, häufig	often, frequently	grupo	alternativoj	prononco
level	iom	ein wenig, eher, etwas, etwas	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	neu, neuartig	new, novel	grupo	alternativoj	prononco
level	-at-	(Suffix) Passiv Partizip Präsens	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(Suffix) Passives Partizip Perfekt	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(Suffix) passives zukünftiges Partizip	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	sehr, ziemlich, sehr	very, quite, very much	grupo	alternativoj	prononco
level	tro	zu, übermäßig, zu viel	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	jedoch, dennoch, aber, dennoch	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Oh! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	das ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	weil ~	because ~	grupo	alternativoj	prononco
level	ĉu	ob ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(Suffix) Ort	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(Suffix) abstrakter Name der Qualität	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	beide ~	both ~	grupo	alternativoj	prononco
level	tuj	sofort, sofort, sofort	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	als ob ~	as if ~	grupo	alternativoj	prononco
level	kiam	Wann	when	grupo	alternativoj	prononco
level	silenti	schweigen, still sein	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	niemals, zu keinem Zeitpunkt, niemals	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	deshalb, also	therefore, so	grupo	alternativoj	prononco
level	kial	warum, wofür	why, what for	grupo	alternativoj	prononco
level	kvankam	obwohl ~, während, obwohl	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(Präposition) bei ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	mehr	more	grupo	alternativoj	prononco
level	plej	am meisten	most	grupo	alternativoj	prononco
level	diri	sagen, erzählen	to say, to tell	grupo	alternativoj	prononco
level	ol ~	als ~	than ~	grupo	alternativoj	prononco
level	paroli	sprechen, reden	to speak, to talk	grupo	alternativoj	prononco
level	kia	was für, was für	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	so, so, so	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	kaum, kaum, kaum	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	senden	to send	grupo	alternativoj	prononco
level	ĵus	gerade (vor einem Moment), gerade jetzt	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(Suffix) Imperativ	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	draußen ~	outside ~	grupo	alternativoj	prononco
level	ge-	(Präfix) beide Geschlechter, beide Geschlechter	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(Suffix) würde, sollte, Konjunktiv	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	bald	soon	grupo	alternativoj	prononco
level	almenaŭ	Zumindest, wenn nichts anderes	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(Suffix) Behälter; Land	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	lernen	to learn	grupo	alternativoj	prononco
level	ek-	(Präfix) Anfang; plötzlicher Start	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	wenn, vorausgesetzt, dass	if, provided that	grupo	alternativoj	prononco
level	eĉ	sogar	even	grupo	alternativoj	prononco
level	amo	eine Liebe	a love	grupo	alternativoj	prononco
level	jam	schon, so bald, jetzt schon	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Hier! Siehe! Erblicken	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	enden, beenden, enden	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	also, dann, also	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~jemals, (was auch immer), überhaupt, -wie auch immer	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	einfach, leicht	easy, facile	grupo	alternativoj	prononco
level	re-	(Präfix) re-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	groß, großartig, groß	big, great, large	grupo	alternativoj	prononco
level	-ist-	(Suffix) professionell	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(Präposition) wegen ~, wegen ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(Suffix) Anführer, Chef, Chef, Häuptling	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	Was	what	grupo	alternativoj	prononco
level	manĝi	Essen	to eat	grupo	alternativoj	prononco
level	nenio	nichts, nichts, nichts	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	jung	young	grupo	alternativoj	prononco
level	ĉio	alles	everything	grupo	alternativoj	prononco
level	riĉa	reich, wohlhabend, wohlhabend	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	das Ding, das	that thing, that	grupo	alternativoj	prononco
level	konstrui	bauen, konstruieren	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(Präfix) Chef, führend, hauptsächlich	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(Präposition) ohne ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(Präposition) mit ~ (zusammen)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(Präposition) außer ~, außerdem ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	ein Freund	a friend	grupo	alternativoj	prononco
level	kies	wessen, welches, davon	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(Präposition) durch ~ (eine Methode), mit ~ (ein Werkzeug)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	gegen ~	against ~	grupo	alternativoj	prononco
level	el ~	aus ~, aus ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	Heute	today	grupo	alternativoj	prononco
level	hieraŭ	gestern	yesterday	grupo	alternativoj	prononco
level	nur	nur, nur, ausschließlich	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	helfen, helfen, unterstützen	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(Adverb) weit weg	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	noch nicht	nor, neither	grupo	alternativoj	prononco
level	malamo	ein Hass	a hate	grupo	alternativoj	prononco
level	preskaŭ	fast, fast	almost, nearly	grupo	alternativoj	prononco
level	tra ~	durch ~	through ~	grupo	alternativoj	prononco
level	super	drüber, oben	over, above	grupo	alternativoj	prononco
level	trans ~	über ~, über ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	na ja, na dann, jetzt	well, well then, now	grupo	alternativoj	prononco
level	pri ~	ungefähr ~	about ~	grupo	alternativoj	prononco
level	por ~	für ~, um für ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	morgen	tomorrow	grupo	alternativoj	prononco
level	nun	jetzt, gegenwärtig	now, at present	grupo	alternativoj	prononco
level	laŭ ~	nach ~, entlang ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	jeder, jeder, jeder, alles	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	wer, welcher, welcher	who, which, which one	grupo	alternativoj	prononco
level	tiu	diese Person, dieser ~, dieser da dort	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	jemand, jemand, einige	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	niemand, niemand, auch nicht	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	zu ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(Suffix) ~able	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	hoffen	to hope	grupo	alternativoj	prononco
level	unu	eins	one	grupo	alternativoj	prononco
level	du	zwei	two	grupo	alternativoj	prononco
level	tri	drei	three	grupo	alternativoj	prononco
level	kvar	vier	four	grupo	alternativoj	prononco
level	kvin	fünf	five	grupo	alternativoj	prononco
level	ses	sechs	six	grupo	alternativoj	prononco
level	sep	Sieben	seven	grupo	alternativoj	prononco
level	ok	acht	eight	grupo	alternativoj	prononco
level	naŭ	neun	nine	grupo	alternativoj	prononco
level	dek	zehn	ten	grupo	alternativoj	prononco
level	cent	einhundert	a hundred	grupo	alternativoj	prononco
level	mil	eintausend	a thousand	grupo	alternativoj	prononco
level	-obl-	(Suffix) für Multiplizität, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(Suffix) ~th, Bruch	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	der Liebe	of love	grupo	alternativoj	prononco
level	anstataŭ ~	statt ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(Suffix) werden	(suffix)  become	grupo	alternativoj	prononco
level	voli	wollen, wollen, dazu bereit sein	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(Suffix) Ursache zu werden	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	Folgen	to follow	grupo	alternativoj	prononco
level	ĝoje	gern	gladly	grupo	alternativoj	prononco
level	legi	lesen	to read	grupo	alternativoj	prononco
level	silenta	still	silent	grupo	alternativoj	prononco
level	la	Die	the	grupo	alternativoj	prononco
level	ha!	Ha!	ha!	grupo	alternativoj	prononco
level	-il-	(Suffix) Werkzeug, Methode	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	trinken (ohne Alkohol)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(Suffix) klein, wenig	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(Suffix) groß, groß	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(Präposition) zwischen ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(Suffix)bezogenes Verhalten	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(Suffix) Satz, Gruppe	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(Suffix) Mitglied einer Gruppe	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	sich bedanken	to thank	grupo	alternativoj	prononco
level	-ind-	(Suffix) lohnenswert, würdig	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	noch mehr, weiter und so weiter, mehr	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	wie, wie, auf welche Weise, wie zum Beispiel	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	so, auf diese Weise, so	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(Präposition) in ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(Präposition) neben ~, neben ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(Präposition) unter, unter ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(Präposition) auf ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(Präposition) unbestimmt prep., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(Adverb) noch, noch	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(Präposition) um ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	Aber	but	grupo	alternativoj	prononco
level	ie	irgendwo	somewhere	grupo	alternativoj	prononco
level	kie	wo, an welchem Ort	where, at what place	grupo	alternativoj	prononco
level	silente	schweigend	silently	grupo	alternativoj	prononco
level	ĉie	überall, überall	everywhere, all about	grupo	alternativoj	prononco
level	nenie	nirgendwo, auf keinen Fall, nirgendwo	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	dort, da drüben, dort drüben	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	das ~	this ~	grupo	alternativoj	prononco
level	kanti	singen	to sing	grupo	alternativoj	prononco
level	morti	sterben, vergehen	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(Präposition) während ~, while ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	eine Nation	a nation	grupo	alternativoj	prononco
level	koni	(eine Person) kennen, mit ihr vertraut sein	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	wissen (eine Tatsache, Wissen), wissen wie	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	immer immer	always, ever	grupo	alternativoj	prononco
level	iam	irgendwann, einmal	at some time, once	grupo	alternativoj	prononco
level	tiam	Dann	then	grupo	alternativoj	prononco
level	-em-	(Suffix) Tendenz	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	eine Art von	some kind of	grupo	alternativoj	prononco
level	sukcesi	erfolgreich sein	to succeed	grupo	alternativoj	prononco
level	ĉia	aller Art, jeder Art	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	Nein, nicht irgendeine Art, nicht irgendeine	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(Suffix) Nachkommen	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	ein Raum, eine Kammer	a room, a chamber	grupo	alternativoj	prononco
level	patro	ein Vater	a father	grupo	alternativoj	prononco
level	porko	ein Schwein, Schwein	a pig, swine	grupo	alternativoj	prononco
level	bo-	(Präfix) -Schwiegereltern, durch Heirat	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	In der Tat	indeed	grupo	alternativoj	prononco
level	-ism-	(Suffix) -ismus	(suffix)  -ism	grupo	alternativoj	prononco
level	io	etwas	something	grupo	alternativoj	prononco
level	veturi	(ein Fahrzeug) fahren	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	ein Hahn, eine Henne, ein Huhn, ein Geflügel	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	frei	free	grupo	alternativoj	prononco
level	lasta	zuletzt	last	grupo	alternativoj	prononco
level	ĝoji	sich freuen, sich freuen, genießen	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	nehmen, festhalten	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	eine Kuh, ein Ochse, ein Rind	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	ein anderes, anderes, sonst	another, other, else	grupo	alternativoj	prononco
level	varma	heiß, warm	hot, warm	grupo	alternativoj	prononco
level	loĝi	wohnen, leben, wohnen, bewohnen	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	glauben	to believe	grupo	alternativoj	prononco
level	glacio	ein nettes	an ice	grupo	alternativoj	prononco
level	loko	ein Ort, ein Ort	a place, a location	grupo	alternativoj	prononco
level	ovo	ein Ei	an egg	grupo	alternativoj	prononco
level	multa	viele, viele, viele	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	ein Besitz	a possession	grupo	alternativoj	prononco
level	ŝafo	ein Schaaf	a sheep	grupo	alternativoj	prononco
level	sono	ein Ton	a sound	grupo	alternativoj	prononco
level	fiŝo	ein Fisch	a fish	grupo	alternativoj	prononco
level	bela	schön, gutaussehend, hübsch	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	antworten, antworten, antworten	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	ein Anlass, eine Zeit	an occasion, a time	grupo	alternativoj	prononco
level	demandi	Fragen	to ask	grupo	alternativoj	prononco
level	forta	stark	strong	grupo	alternativoj	prononco
level	preter ~	jenseits von ~, vorbei an ~, direkt vorbei	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	ein Schweigen	a silence	grupo	alternativoj	prononco
level	infano	ein Kind, ein Kleinkind	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	glücklich, glücklich, glücklich	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	fangen, einfangen, festhalten	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	begehren, wünschen	to desire, to wish	grupo	alternativoj	prononco
level	longa	lang	long	grupo	alternativoj	prononco
level	mondo	eine Welt	a world	grupo	alternativoj	prononco
level	okazi	geschehen, passieren, zustande kommen	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	Feld, ein Feld	field, a field	grupo	alternativoj	prononco
level	filo	einen Sohn	a son	grupo	alternativoj	prononco
level	montri	zeigen, hinweisen, darauf hinweisen	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	ein Herz	a heart	grupo	alternativoj	prononco
level	knabo	ein Junge	a boy	grupo	alternativoj	prononco
level	meti	stellen, platzieren, hinlegen	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	ein Ehemann	a husband	grupo	alternativoj	prononco
level	pako	Paket	package	grupo	alternativoj	prononco
level	rapida	schnell, schnell, schnell	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	scheinen, zu sein scheinen	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	ein Gruß, Gruß, Gruß	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	schreiben	to write	grupo	alternativoj	prononco
level	peti	bitten, bitten, bitten, betteln	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	fliegen	to fly	grupo	alternativoj	prononco
level	kapo	ein Kopf, ein Umhang	a head, a cape	grupo	alternativoj	prononco
level	krii	schreien, weinen, schreien, schreien	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	Rot	red	grupo	alternativoj	prononco
level	sinjoro	ein Herr, ein Gentleman	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	festhalten, festhalten	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	Zeit, eine Zeit	time, a time	grupo	alternativoj	prononco
level	tuta	insgesamt, alle, vollständig, vollständig, insgesamt	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	ein Mann	a man	grupo	alternativoj	prononco
level	vojo	ein Weg, ein Weg, eine Route	a way, a path, a route	grupo	alternativoj	prononco
level	movi	bewegen	to move	grupo	alternativoj	prononco
level	militi	einen Krieg brechen, kämpfen, Krieg führen	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	ein paar, mehrere	a few, several	grupo	alternativoj	prononco
level	dekstra	rechts, rechts (Seite, Richtung), rechts	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	schließen, schließen	to close, to shut	grupo	alternativoj	prononco
level	okupi	besetzen, nehmen	to occupy, to take	grupo	alternativoj	prononco
level	levi	hebeln, heben, heben	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	schlagen, schlagen, schlagen, schlagen, peitschen	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	brauchen, wollen, verlangen	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	verstehen, erkennen	to understand, to realise	grupo	alternativoj	prononco
level	iri	gehen	to go	grupo	alternativoj	prononco
level	veni	kommen	to come	grupo	alternativoj	prononco
level	porti	tragen, tragen	to carry, to wear	grupo	alternativoj	prononco
level	kovri	zudecken	to cover	grupo	alternativoj	prononco
level	hela	hell, klar und leicht	bright, clear and light	grupo	alternativoj	prononco
level	sana	gesund	healthy	grupo	alternativoj	prononco
level	aperi	erscheinen, auftauchen	to appear, to emerge	grupo	alternativoj	prononco
level	libro	ein Buch	a book	grupo	alternativoj	prononco
level	atendi	warten, erwarten, warten	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	eine Hand	a hand	grupo	alternativoj	prononco
level	pentri	anstreichen	to paint	grupo	alternativoj	prononco
level	instrui	lehren, unterweisen	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	sitzen	to sit	grupo	alternativoj	prononco
level	stari	stehen	to stand	grupo	alternativoj	prononco
level	afero	eine Sache, ein Objekt, ein Fall, ein Anliegen, eine Materie	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	voll, vollständig	full, complete	grupo	alternativoj	prononco
level	klara	klar	clear	grupo	alternativoj	prononco
level	komenci	beginnen, beginnen	to begin, to commence	grupo	alternativoj	prononco
level	dormi	schlafen, schlafen	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	ein Teil, ein Anteil	a part, a share	grupo	alternativoj	prononco
level	mono	Geld	money	grupo	alternativoj	prononco
level	ricevi	bekommen	to receive	grupo	alternativoj	prononco
level	ami	lieben	to love	grupo	alternativoj	prononco
level	devi	müssen, müssen, sollten, sollten	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	können, können	be able to, can	grupo	alternativoj	prononco
level	labori	arbeiten, arbeiten	to work, to labor	grupo	alternativoj	prononco
level	dio	ein Gott	a god	grupo	alternativoj	prononco
level	urbo	eine Stadt, eine Stadt	a city, a town	grupo	alternativoj	prononco
level	ofta	häufig, oft	freqent, often	grupo	alternativoj	prononco
level	soni	klingen, Ton erzeugen	to sound, to make sound	grupo	alternativoj	prononco
level	tero	Erde, Land, Boden	earth, land, soil	grupo	alternativoj	prononco
level	vivi	leben, am Leben sein	to live, to be alive	grupo	alternativoj	prononco
level	resti	bleiben, bleiben	to stay, to remain	grupo	alternativoj	prononco
level	ridi	Lachen	to laugh	grupo	alternativoj	prononco
level	homo	ein Mensch, ein Mann	a human, a man	grupo	alternativoj	prononco
level	akvo	Wasser	water	grupo	alternativoj	prononco
level	vorto	ein Wort	a word	grupo	alternativoj	prononco
level	certa	sicher, sicher	certain, sure	grupo	alternativoj	prononco
level	lando	ein Land, ein Land	a land, a country	grupo	alternativoj	prononco
level	sama	Dasselbe	same	grupo	alternativoj	prononco
level	ĵeti	werfen	to throw	grupo	alternativoj	prononco
level	stelo	ein Stern	a star	grupo	alternativoj	prononco
level	domo	ein Haus, ein Zuhause	a house, a home	grupo	alternativoj	prononco
level	nomo	ein Name, eine Bezeichnung	a name, an appellation	grupo	alternativoj	prononco
level	vidi	um zu sehen	to see	grupo	alternativoj	prononco
level	mola	weich	soft	grupo	alternativoj	prononco
level	horo	eine Stunde, Uhr, Zeit	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	eine Form, eine Gestalt	a form, a shape	grupo	alternativoj	prononco
level	tago	ein Tag	a day	grupo	alternativoj	prononco
level	fumo	ein Rauch	a smoke	grupo	alternativoj	prononco
level	ĉevalo	ein Pferd	a horse	grupo	alternativoj	prononco
level	jaro	ein Jahr	a year	grupo	alternativoj	prononco
level	vojaĝi	Reisen	to travel	grupo	alternativoj	prononco
level	celo	ein Ziel, ein Ziel, ein Zweck, ein Ziel	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	gebären, gebären, zeugen	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	vermissen, fehlen, vermissen	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	ein Vogel	a bird	grupo	alternativoj	prononco
level	halti	anhalten, anhalten, zum Stillstand kommen	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	ein Bruder	a brother	grupo	alternativoj	prononco
level	monto	ein Berg	a mountain	grupo	alternativoj	prononco
level	pensi	denken	to think	grupo	alternativoj	prononco
level	permesi	erlauben, zulassen	to permit, to allow	grupo	alternativoj	prononco
level	kosti	Kosten	to cost	grupo	alternativoj	prononco
level	lito	ein Bett, eine Couch	a bed, a couch	grupo	alternativoj	prononco
level	perdi	verlieren	to lose	grupo	alternativoj	prononco
level	miri	überraschen, staunen, erstaunt sein	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	eine Person	a person	grupo	alternativoj	prononco
level	diversa	vielfältig, vielfältig, vielfältig	diverse, varied, various	grupo	alternativoj	prononco
level	provi	versuchen, versuchen	to try, to attempt	grupo	alternativoj	prononco
level	pagi	bezahlen	to pay	grupo	alternativoj	prononco
level	prezenti	präsentieren, vorstellen	to present, to introduce	grupo	alternativoj	prononco
level	aparta	getrennt, besonders, getrennt	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	richtig, ein Recht	right, a right	grupo	alternativoj	prononco
level	mateno	Morgen, ein Morgen	morning, a morning	grupo	alternativoj	prononco
level	agrabla	angenehm, angenehm, nett	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	Abend, ein Abend	evening, an evening	grupo	alternativoj	prononco
level	muro	eine Mauer	a wall	grupo	alternativoj	prononco
level	suno	Sonne, eine Sonne	sun, a sun	grupo	alternativoj	prononco
level	rigardi	schauen, anschauen	to look, to look at	grupo	alternativoj	prononco
level	senti	fühlen, spüren	to feel, to sense	grupo	alternativoj	prononco
level	blanka	weiß, leer	white, blank	grupo	alternativoj	prononco
level	simpla	einfach	simple	grupo	alternativoj	prononco
