A.no content.tsv
Level	Esperanto	no	en-us	Grupo	Alternativoj	Pronoco
level	la libroj estas ~	bøkene er ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	på bordet	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	en lærebok og lærebøkene	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	på bordet er det ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	en far og en mor	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	faren og moren	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	moren til vennen min	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	i rommet	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	er ikke i rommet	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	de jobber nå	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	faren hans er arbeider	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	han jobber på et hotell	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	moren underviser	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	hun er en lærer	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	er hun en mor?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	nei, hun er hotelleier	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	nei, jeg jobber ikke	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	hva er navnet hennes?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	hvem svarer nå?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	språket til moren deres	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	er navnet ditt ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	vi sitter og svarer	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	arbeidsstolen hennes	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	navnet er ikke ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	hennes språk er deres språk	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	vår far og mor	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	din student, dine studenter	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	er de elevene dine?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	er du student?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	er du på rommet?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Jeg er ikke ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	en esperantist og en kvinnelig esperantist	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	sjekket inn på hotellrommet	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	en språkforsker og en kvinnelig arbeider	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	venninnen hans er ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	studenter og idrettsutøvere	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	familienavnet mitt er ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	hvem er hun? hvem er hun?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	er venninnen din	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	er vennen din ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	skriver nå i rommet	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	er vennen til deg far ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	jobber på hotell	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	hva er på bordet?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	på bordet på rommet vårt	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	er læreboken i esperanto ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	er på bordet ditt	is on your table	grupo	alternativoj	prononco
level	havas amikinon	har en venn	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	hun heter ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	ung og vakker	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	er ung og vakker	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	unge og vakre venner	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	er mannlige og kvinnelige venner	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	hjemmet til læreren hennes	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	kom til hjemmet	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	hjemmet til ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	vennligst kom inn	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Hei Hva gjør du?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	hva gjør du? Hva gjør du?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	men nå vil jeg ha ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	jeg vil snakke	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	med tre mannlige og kvinnelige venner	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	snakket med deg	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	ønsker å snakke med deg	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	har du mannlige og kvinnelige venner	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	han har en bok	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	har en god bok	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Ja jeg har	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	de liker det	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	hun leste en bok	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	liker å lese bøker	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	bare en god bok	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	mange gode bøker	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	les bare gode bøker	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	liker å lese gode bøker	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	vil du lese?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	unggutten drakk kaffe	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	ønsker å drikke vann	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	en far og en mor; foreldre	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	en plage og en søster, søsken	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	dine foreldre og søsken	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	er i ditt hjem	is in your home	grupo	alternativoj	prononco
level	jen la kafo	her er kaffen	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	har ikke drukket ennå	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	er fortsatt varm	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	kokte den i går	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Nå har jeg laget mat	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Takk skal du ha. så sa han.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	kan drikke og spise	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	drakk kald kaffe	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	fortsatt varm kaffe	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	drikker kald kaffe også	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	kan også drikke kald kaffe	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	ser på øyet hennes	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	det vakreste øyet	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	de vakre øynene	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	så de vakre øynene	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	de vakre øynene til henne	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	ser og forstår	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Jeg ser at ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	at han elsker henne	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	hun føler at han elsker henne	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	spør om det var stort	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	om et enkelt spørsmål	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	sa om nye penger	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	veldig vakre øyne	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	så storebroren	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	en lillesøster glemte det	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	en akkusativ (objektiv)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	ikke glem den akkusative slutten	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	hvem ser du? hvilken ser du?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Jeg ser en venn	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	har gode mannlige og kvinnelige venner	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	de jobber med det gamle huset	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	fungerer, jobbet, vil fungere	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	ser, at jeg spiser	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	sa, at han vil gå	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	stygg og dårlig	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	hva sa hun?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	hva venter du på?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	gikk inn i rommet	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	et innhold er veldig vanskelig	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	ankom møtet	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	velkommen til møtet	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	en gammel mann ga et tips	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	ankom og ble ønsket velkommen	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	de hater, men samarbeider	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	dro til hotellet	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	har enkle lærebøker	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	hvordan var moren din?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	ditt gamle hjem	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	hvilke bøker leste du?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	var de gode?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	gjorde hva i går?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	i det lille rommet	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	snakket veldig lenge	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	foran skolen, før skolen	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	snakket før skolen	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	snakket senere om boken	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	gikk gjerne på skolen	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	gjennom gaten	through the street	grupo	alternativoj	prononco
level	iris tra la strato	gikk gjennom gaten	went through the street	grupo	alternativoj	prononco
level	estis varma tago	var en varm dag	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	de så en kafé	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	så røde kaker	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	så cookies i den	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	så en kafé og i den informasjonskapsler	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	gå inn og spis!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	la oss komme inn og spise	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	har nok penger	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	har du nok penger?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	forstår du?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	selvfølgelig!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	det er ikke nok	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	hundre dollar er nok	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	en dollar, dollar, dollar (flertallsmål)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	har hundre dollar	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	selvsagt har jeg	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	Åh! du er rik!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	et vann, en servitør	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	en kelner bringer en meny	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	brakte det til oss, brakte det	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	en kelner brakte mange kaker	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	de spiste litt (litt)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	etter spising (måltid)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nytt, igjen	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	servitøren kom igjen	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	et eller annet sted	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	hadde søkt et sted	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	søkte et annet sted	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	ansiktet hans var gledelig	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	hun var trist	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	til slutt og til slutt	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	din sterke stemme	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	med svak stemme	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	har ikke penger	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	hva skjedde der?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	en ulykke skjedde senere	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	vet du når skjedde det?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	vet om saken	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	fortsatt en ting gjenstår	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	du eller hun, hvilken som helst person	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	som en sanger, som en underskriver	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	sang som en profesjonell sanger	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	på stedet hvor hun bodde	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	hvordan vet du om bilen?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	vel, se på den raske bilen	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	en juice uten sukker	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	han har et raskt kjøretøy	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	for sterkt	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	han åpnet for hardt	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	kjørte (reiste) for fort	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	spiste med skje	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	tviler vi sterkt på	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	et sant brev fra ham	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	et kjærlighetsbrev med fem bilder	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	returnerte, menneskene som kom tilbake	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	også seks brev returnert	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	ville se bildet	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	kom tilbake fra skolen	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	når kommer søsteren tilbake?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	ønsket å lese igjen	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	laget (gjorde), ble	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	ble raskt rødt	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	i et rom, inn i et rom	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	sto og satt	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	der sto foran bildet	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	jeg har det	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	hva har du i hånden?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	foran eller bak?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	før eller etter?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	der bak døren	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	andre, andre mennesker	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	brev fra andre	letters from others	grupo	alternativoj	prononco
level	falis el la mano	falt ut av hånden	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	på bordet, på bordet	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	den falt på bordet	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	ba om tilgivelse	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	søkte etter fem bøker	was searching for five books	grupo	alternativoj	prononco
