A.ru content.tsv
Level	Esperanto	ru	en-us	Grupo	Alternativoj	Pronoco
level	sportisto nun sportas	спортсмен занимается спортом	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	он студент	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	он студент и спортсмен	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	он сейчас сидит	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	и сейчас учится	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	сидит и учится	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	сейчас в комнате	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	находится на столе	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	бумага и документы	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	стол и столы	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	книга и книги	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	документы и книги	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	это на столе.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	пишет на письменном столе	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	книги ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	на столе	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	учебник и учебники	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	на столе есть ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	отец и мать	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	отец и мать	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	мать моего друга	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	в комнате	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	его нет в комнате	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	они сейчас работают	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	его отец - рабочий	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	он работает в отеле	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	мать учит	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	она учитель	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	она мать?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	нет, она владелица отеля	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	нет, я не работаю	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	Как ее зовут?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	кто сейчас отвечает?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	язык их матери	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	тебя зовут ~ ?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	мы сидим и отвечаем	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	ее рабочее кресло	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	его имя не ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	ее язык - их язык	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	наши отец и мать	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	твой ученик, твои ученики	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	они твои ученики?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	Вы студент?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	ты в комнате?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Я не ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	эсперантист и женщина-эсперантистка	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	зарегистрировался в номере отеля	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	лингвист и работница	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	его подруга ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	студенты и спортсмены	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	мое фамильное имя ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	кто она? какая она?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	Является ли ваша подруга	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	твой друг ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	сейчас пишет в комнате	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	твой друг, отец ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	работает в отеле	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	что на столе?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	на столе в нашей комнате	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	учебник эсперанто ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	у тебя на столе	is on your table	grupo	alternativoj	prononco
level	havas amikinon	есть друг	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	ее зовут ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	молодой и красивый	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	молодой и красивый	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	молодые и красивые друзья	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	друзья мужчины и женщины	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	дом ее учителя	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	пришел домой	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	дом ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	Пожалуйста, войдите	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Привет, чем занимаешься?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	Что вы делаете? что ты делаешь?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	но теперь я хочу ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	я хочу поговорить	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	с тремя друзьями мужского и женского пола	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	говорил с тобой	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	хочет поговорить с тобой	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	у тебя есть друзья мужчины и женщины?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	у него есть книга	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	есть хорошая книга	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Да, у меня есть	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	им это нравится	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	она прочитала книгу	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	любит читать книги	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	только хорошая книга	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	много хороших книг	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	читай только хорошие книги	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	любит читать хорошие книги	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	ты хочешь прочитать?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	юноша выпил кофе	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	хочет пить воду	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	отец и мать; родители	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	брат и сестра, братья и сестры	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	твои родители и братья и сестры	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	у тебя дома	is in your home	grupo	alternativoj	prononco
level	jen la kafo	вот кофе	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	еще не пил	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	все еще тепло	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	приготовила это вчера	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	я сейчас приготовила	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Спасибо. так он сказал.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	можно пить и есть	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	выпил холодный кофе	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	еще теплый кофе	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	тоже пьет холодный кофе	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	можно также пить холодный кофе	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	смотрит ей в глаза	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	самые красивые глаза	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	красивые глаза	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	посмотрел красивые глаза	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	ее красивые глаза	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	видит и понимает	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Я вижу это ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	что он любит ее	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	она чувствует, что он любит ее	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	спрашивает, было ли это большим	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	о простом вопросе	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	сказал о новых деньгах	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	очень красивые глаза	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	выглядел как старший брат	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	маленькая сестра забыла это	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	винительный (объективный)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	не забудь винительное окончание	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	кого ты видишь? какой из них ты видишь?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	я вижу друга	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	имеет хороших друзей как мужчин, так и женщин	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	они работают над старым домом	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	работает, работал, будет работать	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	видит, что я ем	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	сказал, что он пойдет	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	уродливый и плохой	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	что она сказала?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	чего же ты ждешь?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	пошел в комнату	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	содержание очень сложное	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	прибыл на встречу	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	добро пожаловать на встречу	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	старик дал совет	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	прибыл и был встречен	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	они ненавидят, но сотрудничают	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	пошел в отель	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	есть легкие учебники	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	как твоя мать?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	твой старый дом	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	какие книги ты читал?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	они были хорошими?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	что делал вчера?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	в маленькой комнате	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	говорил очень долго	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	перед школой, перед школой	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	говорил перед школой	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	позже рассказал о книге	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	с удовольствием пошел в школу	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	через улицу	through the street	grupo	alternativoj	prononco
level	iris tra la strato	прошел через улицу	went through the street	grupo	alternativoj	prononco
level	estis varma tago	был теплый день	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	они видели кафе'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	видел красное печенье	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	увидел там печенье	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	увидел кафе' и в нем печенье	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	зайди и поешь!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	давай зайдем и поедим	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	имеет достаточно денег	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	у тебя достаточно денег?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	вы понимаете?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	конечно!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	этого недостаточно	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	сто долларов достаточно	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	доллар, доллары, доллары (множественное число)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	имеет сто долларов	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	Конечно, у меня есть	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	ой! ты богат!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	вода, официантка	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	официант приносит меню	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	принес это нам, принес это	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	официант принес много печенья	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	они съели немного (немного)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	после еды (трапезы)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	новый, снова	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	официант пришел снова	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	в каком-то месте	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	искал где-то	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	искал в другом месте	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	его лицо было радостным	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	она была грустна	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	в конце концов и наконец наконец	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	твой сильный голос	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	слабым голосом	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	нет денег	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	что там произошло?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	авария произошла позже	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	ты знаешь, когда это произошло?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	знает об этом деле	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	еще одно остается	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	ты или она, любой человек	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	как певец, как подписавший	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	пел как профессиональный певец	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	место, где она жила	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	откуда ты знаешь про машину?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	ну, посмотри на быструю машину	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	сок без сахара	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	у него быстрая машина	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	слишком сильно	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	он открылся слишком сильно	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	ехал (ехал) слишком быстро	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	ел ложкой	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	мы сильно сомневаемся	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	настоящее письмо от него	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	любовное письмо с пятью фотографиями	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	вернулись, люди, которые вернулись	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	также шесть писем вернулось	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	хотел увидеть фото	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	вернулся из школы	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	когда сестра вернется?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	хотел прочитать еще раз	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	сделал (сделал), стал	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	быстро стал красным	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	в комнате, в комнате	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	стоял и сидел	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	там стоял перед фотографией	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	У меня есть это	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	что у тебя в руке?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	спереди или сзади?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	до или после?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	там за дверью	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	другие, другие люди	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	письма от других	letters from others	grupo	alternativoj	prononco
level	falis el la mano	выпал из рук	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	на столе, на столе	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	оно упало на стол	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	просил прощения	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	искал пять книг	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	извини, я искал свою книгу.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	но ты хорошо знаешь	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	его нет на моем столе	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	твоих книг нет на моем столе	your books are not on my table	grupo	alternativoj	prononco
