B.et content.tsv
Level	Esperanto	et	en-us	Grupo	Alternativoj	Pronoco
level	tio estas novaĵo por mi	see on minu jaoks uudis	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	kas sa kuulsid ~ kohta?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	kas sa kuulsid esperantost?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Ma ei teadnud, et ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	aga ma ei teadnud, et mu nimi on sellega seotud	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	tegelikult	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	kuidas ~ ?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	kuidas on suhe?	how is the relation?	grupo	alternativoj	prononco
level	ho!	oh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	see on pikk lugu	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	ütleb sulle	will tell you	grupo	alternativoj	prononco
level	se vi volas	kui sa tahad	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Ma räägin teile hiljem, kui soovite	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	selles kohas (selles kohas)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	liiga palju müra	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	selles kohas on liiga palju müra	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	jah sul on õigus	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	Kas tantsime?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	hea mõte!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	tänan meeldiva õhtu eest	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	aitäh (teile)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	see oli väga hea	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	muusika on ~-le meeldiv	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	muusika oli mulle väga meeldiv	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	ka mulle	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	tantsimine on väga naljakas	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	sinuga tantsima	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	väga naljakas oli sinuga tantsida	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	siin on minu nimekaart	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	kui sa seda tahad	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	siin on minu kaart, kui soovite	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	sellel on ka ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	peal on ka aadress	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	seal on veebisaidi aadress	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	aadress espernato kursusega saidile	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	aitäh	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Saadan sulle e-kirja	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	okei!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	näeme jälle ja head ööd!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	näeme!	see you!	grupo	alternativoj	prononco
level	aperas en ~	kuvatakse ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	kiirsõnumitooja	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ ilmub kiirsuhtlusse	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	kas sa oled see inimene?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	see inimene, kes oli minuga tantsinud	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Laupäeva õhtu	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	kas sa oled see inimene, kes minuga laupäeva õhtul tantsis?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	jah, see olen mina	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Mul on hea meel, et ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Mul on hea meel, et saidile tulite	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	kas see on sulle meeldiv? (Kas sulle meeldib see?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	jah, jah	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	see on väga ilus	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	tundub huvitav	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	see on väga ilus ja tundub huvitav	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	veel mitte ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	pole täielikult valmis	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	see pole veel täiesti valmis	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	aga varsti saab	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	ma saan aru (ma näen)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	kuid juba on palju abivahendeid	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	sõnastik	a dictionary	grupo	alternativoj	prononco
level	superrigardo	ülevaadet	an overview	grupo	alternativoj	prononco
level	ekzerco	ekstsiis	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	näidissõnad, ülevaade, sõnumitooja ja harjutused	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	grammatika ülevaade	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	kiirsõnumitooja ja erinevad harjutused	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	see on hea algus	it is a good start	grupo	alternativoj	prononco
level	pardonon	vabandust, vabandust	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Ma pean ~-ga rääkima	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	teise inimesega rääkida	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Vabandust, ma peaksin teise inimesega rääkima	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	keeleabiline	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Olen tema keeleabiline	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	ja nüüd tahab ta ~-st rääkida	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	harjutusest rääkima	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	varsti tuleb tagasi	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Tulen varsti teie juurde tagasi	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	mõne minuti pärast	after several minutes	grupo	alternativoj	prononco
level	finparolis	lõpetas rääkimise	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	nüüd lõpetasime harjutusest rääkimise	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	vahepeal, mõnda aega	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Lugesin vahepeal esperanto kohta	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Ma pole kindel	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	teab ~ kohta piisavalt	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Ma ei oska veel piisavalt keelt	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	tark vastus	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Vaatan saidilt	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	ja proovin natuke õppida	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	kas sa tahad olla mu keeleabiline?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	vabatahtlikult!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	oled teretulnud!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	pole tänamist väärt, aga suudlust väärt	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	ütleb seda esperanto keeles	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	mida? ma ei saa aru	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	võite vaadata sõnastikust	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	kahjuks	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Ma pean nüüd Internetist lahkuma	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Tulen õhtul tagasi	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Arvan, et olen selleks ajaks kohapeal	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	täiuslik!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	no näeme siis!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	Näeme hiljem!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	õhtul ka kiirsõnumis	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Tere jälle! (re-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Tere jälle!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Vaatasin saidilt peaaegu kõik lehed	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	päris hea! vinge!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Mul on mitu küsimust	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Kas teil on aega?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	jah, ma olen õhtul vaba	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	nii et kirjutage oma küsimused	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Püüan vastata	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Lugesin, et esperantol on kultuur	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	aga ma ei mõista ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	kust ma leian sellise kultuuri	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	leiate kõikjalt, kus ~ on	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	igas kohas, kus on inimesi, kes räägivad esperantot	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	kuid ükski inimene ei kasuta esperantot	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	õige!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	aga inimesed, kes räägivad esperantot	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	sageli reisivad ja kohtuvad teiste esperantistidega	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	nende koosolekute ajal	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	nad kasutavad keelt kõige erinevamates olukordades	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	nii et sealt leiate ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	leiad kultuuri	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	leiab esperanto kultuuri	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	okei, kas muusika on olemas?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	muusika, kirjandus, teater	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	jne	etc	grupo	alternativoj	prononco
level	same kiel ~	sama mis ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	sama mis teiste keelte puhul	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	kogus pole nii suur	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	sama suur kui rahvuskeeltes	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	aga see pole oluline	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	vähemalt minu jaoks mitte	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	kui tahad kuulata ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	Esperantokeelset laulu kuulama	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	siin on laul &quot;Lisa maalib pilte&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	kuulab laulu	listens to the song	grupo	alternativoj	prononco
level	ne malbone	pole paha	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	ja leiate palju esperantokeelseid raamatuid	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	vaatab raamatuid	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	piisavalt palju	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	kas sa loed palju esperanto keeles?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	jah, mõnikord (aeg-ajalt)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	kui sa kunagi keele ära õpid	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Soovitan teile mõnda head raamatut	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	on umbes ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	minu teine küsimus puudutab minu nime	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	sa ütlesid varem, et ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	on seotud ~-ga	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	ütles, et sellel on seos esperantoga	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	oh, jah, selle kohta	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	mees nimega ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	elas kord mees nimega ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	ta oli väga aktiivne esperanto liikumises	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	kui see oli täiesti uus	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	tõlkis raamatu ~ keelde	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	ja tõlkis palju raamatuid esperanto keelde	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	ja see tegi ta kuulsaks?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	esperanto jaoks tolle aja üks olulisemaid	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	ja tal oli keelestiilile palju mõju	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	ei, kindlasti oli ta oluline ja mõjutas	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	ta aga järsku loobus liikumisest	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Ma kujutan ette, et ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Ma kujutan ette, et see oli paljudele suur šokk	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	miks ta esperantost lahkus?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Usun, et ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	ta ei olnud esperantistidega rahul	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	ta ütles midagi sarnast ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto keelt peavad esperantistid ise õppima!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	mida ta tahtis ~-ga öelda?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	mida ta sellega öelda tahtis?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	on tõenäoline, et ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	inimesed rääkisid halvasti esperantot	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	tõenäoliselt rääkisid inimesed halvasti	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	aastal 1911 lahkus ta esperanto keelest	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	aga ma arvan, et ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	on kõrgem	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	tänapäeval on keeletase kõrgem	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	esperantistide keeletase	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	aga ma arvan, et täna on tase kõrgem	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	nii et ma pean keelt hästi õppima	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	selle eest, et oled hea inimene	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	ja peaksite kasutama lihtsat stiili	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	sest see oli tema jaoks väga oluline	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	see meeldib mulle (see meeldib mulle)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	esperanto keeles on isegi sõna ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	seal on isegi sõna &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	liikumisest loobuma	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	sõna &quot;kabei&quot;, mis tähendab liikumisest loobumist	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	see on huvitav!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	nüüd tean üht sõna esperanto keeles	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	ei unusta kunagi	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	ja ma ei unusta seda ilmselt kunagi	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	mõne nädala pärast kohvikus	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	tal õnnestus esperanto ära õppida	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	ja nad kasutavad seda keelt	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	kutsuma, kutse	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	siin, vaata, kutse IJK-sse!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	mida? Ee-yo-mida?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	noor inimene, grupp noori	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK on rahvusvaheline noortekongress	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Plaanin sellele minna	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	kas sa tahad ka minna?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	noh, &quot;kongress&quot; ei kõla eriti huvitavalt	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	aga see on (huvitav)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	ei mõtle midagi igavat loid kongressi	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	see on ainult ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	see on lihtsalt noortega kohtumine	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	kohtumine paljude riikide noortega	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Sinna tuleb 300–400 inimest	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	seal on arvatavasti 300–400 inimest	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	peaaegu kõik	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	ja peaaegu kõik räägivad esperantot	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	ei räägi hästi	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, aga ma ei räägi hästi esperantot	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	vahet pole	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	on võimalik osaleda ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	osaleda sealsetel esperanto kursustel	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	tavaliselt	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	tavaliselt on kaks taset	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	inimesed, kes olid keele juba õppinud	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	üks algajatele	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	ja teine neile, kes on keele juba õppinud	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jess, mis?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	sa ütlesid: &quot;tavaliselt&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	oh, IJK toimub igal aastal	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	iga kord teises riigis	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	sel põhjusel on iga IJK erinev	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	aga on ka programme	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programmid, mis naasevad sageli	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	kuid on ka programme, mis naasevad sageli	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	näiteks	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	näiteks on peaaegu alati võimalik sportida ja kaarte mängida	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	sõpradega terve öö vestelda	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	tule ümber laulda ja tantsida	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	osaleda kontsertidel ja nii edasi	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	no ma saan seda ka kodus teha	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	õige, aga	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	aga IJK ajal on oluline ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
